species_ncbi_tax_id,ncbi_tax_id,organism_name,primary_key
4911,1003335,Kluyveromyces marxianus DMKU3-1042,<i>Kluyveromyces marxianus</i> DMKU3-1042
1069201,1033177,Aspergillus luchuensis IFO 4308,<i>Aspergillus luchuensis</i> IFO 4308
79591,1035635,Epichloe glyceriae E277,<i>Epichloe glyceriae</i> E277
46472,1036611,Aspergillus versicolor CBS 583.65,<i>Aspergillus versicolor</i> CBS 583.65
75750,1036612,Aspergillus sydowii CBS 593.65,<i>Aspergillus sydowii</i> CBS 593.65
263815,1069680,Pneumocystis murina B123,<i>Pneumocystis murina</i> B123
5066,1073089,Aspergillus wentii DTO 134E9,<i>Aspergillus wentii</i> DTO 134E9
41063,1073090,Penicilliopsis zonata CBS 506.65,<i>Penicilliopsis zonata</i> CBS 506.65
337075,1076935,Pyronema omphalodes CBS 100304,<i>Pyronema omphalodes</i> CBS 100304
2502994,1089451,Fusarium odoratissimum NRRL 54006,<i>Fusarium odoratissimum</i> NRRL 54006
5507,1089452,Fusarium oxysporum f. sp. melonis 26406,<i>Fusarium oxysporum</i> f. sp. melonis 26406
67593,1094619,Phytophthora sojae strain P6497,<i>Phytophthora sojae</i> strain P6497
5011,1097556,Taphrina deformans PYCC 5710,<i>Taphrina deformans</i> PYCC 5710
5111,1111077,Claviceps purpurea 20.1,<i>Claviceps purpurea</i> 20.1
35725,1126212,Macrophomina phaseolina MS6,<i>Macrophomina phaseolina</i> MS6
5322,1137138,Pleurotus ostreatus PC15,<i>Pleurotus ostreatus</i> PC15
5322,1137139,Pleurotus ostreatus PC9,<i>Pleurotus ostreatus</i> PC9
1069201,1137211,Aspergillus luchuensis CBS 106.47,<i>Aspergillus luchuensis</i> CBS 106.47
112098,1156394,Saprolegnia diclina VS20,<i>Saprolegnia diclina</i> VS20
91943,1157616,Hortaea werneckii EXF-2000,<i>Hortaea werneckii</i> EXF-2000
41413,1160497,Aspergillus glaucus CBS 516.65,<i>Aspergillus glaucus</i> CBS 516.65
36651,1170230,Penicillium digitatum Pd1,<i>Penicillium digitatum</i> Pd1
1182553,1182543,Cladophialophora psammophila CBS 110553,<i>Cladophialophora psammophila</i> CBS 110553
470704,1182544,Cladophialophora yegresii CBS 114405,<i>Cladophialophora yegresii</i> CBS 114405
1033840,1182545,Exophiala aquamarina CBS 119918,<i>Exophiala aquamarina</i> CBS 119918
82508,1186058,Trichosporon asahii var. asahii CBS 2479,<i>Trichosporon asahii</i> var. asahii CBS 2479
27337,1202531,Verticillium dahliae JR2,<i>Verticillium dahliae</i> JR2
42068,1209962,Pneumocystis jirovecii SE8,<i>Pneumocystis jirovecii</i> SE8
293227,1220924,Cyphellophora europaea CBS 101466,<i>Cyphellophora europaea</i> CBS 101466
36080,1220926,Mucor circinelloides 1006PhL,<i>Mucor circinelloides</i> 1006PhL
65070,1223555,Pythium aphanidermatum DAOM BR444,<i>Pythium aphanidermatum</i> DAOM BR444
82932,1223556,Pythium arrhenomanes ATCC 12531,<i>Pythium arrhenomanes</i> ATCC 12531
36331,1223557,Globisporangium irregulare DAOM BR486,<i>Globisporangium irregulare</i> DAOM BR486
115417,1223558,Globisporangium iwayamae DAOM BR242034,<i>Globisporangium iwayamae</i> DAOM BR242034
2052682,1223559,Globisporangium ultimum var. sporangiiferum BR650,<i>Globisporangium ultimum</i> var. sporangiiferum BR650
907947,1223560,Phytopythium vexans DAOM BR484,<i>Phytopythium vexans</i> DAOM BR484
948311,1227346,Fusarium proliferatum ET1,<i>Fusarium proliferatum</i> ET1
5507,1229664,Fusarium oxysporum f. sp. cubense race 1,<i>Fusarium oxysporum</i> f. sp. cubense race 1
76777,1230383,Malassezia sympodialis ATCC 42132,<i>Malassezia sympodialis</i> ATCC 42132
61273,1262450,Ophiostoma piceae UAMH 11346,<i>Ophiostoma piceae</i> UAMH 11346
42458,1263082,Lichtheimia corymbifera JMRC:FSU:9682,<i>Lichtheimia corymbifera</i> JMRC:FSU:9682
34373,1268274,Blumeria graminis f. sp. tritici 96224,<i>Blumeria graminis</i> f. sp. tritici 96224
1047171,1276537,Zymoseptoria tritici ST99CH_3D1,<i>Zymoseptoria tritici</i> ST99CH_3D1
86049,1279043,Cladophialophora carrionii CBS 160.54,<i>Cladophialophora carrionii</i> CBS 160.54
5127,1279085,Fusarium fujikuroi IMI 58289,<i>Fusarium fujikuroi</i> IMI 58289
74722,1280524,Stachybotrys chartarum IBT 40293,<i>Stachybotrys chartarum</i> IBT 40293
5208,1295531,Cryptococcus depauperatus CBS 7841,<i>Cryptococcus depauperatus</i> CBS 7841
5208,1295532,Cryptococcus depauperatus CBS 7855,<i>Cryptococcus depauperatus</i> CBS 7855
324769,1296100,Kwoniella bestiolae CBS 10118,<i>Kwoniella bestiolae</i> CBS 10118
37769,1296103,Cryptococcus gattii EJB2,<i>Cryptococcus gattii</i> EJB2
1859121,1296105,Cryptococcus tetragattii IND107,<i>Cryptococcus tetragattii</i> IND107
37769,1296108,Cryptococcus gattii NT-10,<i>Cryptococcus gattii</i> NT-10
552467,1296111,Cryptococcus bacillisporus CA1873,<i>Cryptococcus bacillisporus</i> CA1873
89924,1296119,Kwoniella heveanensis CBS 569,<i>Kwoniella heveanensis</i> CBS 569
324770,1296121,Kwoniella dejecticola CBS 10117,<i>Kwoniella dejecticola</i> CBS 10117
463800,1296122,Kwoniella mangroviensis CBS 8507,<i>Kwoniella mangrovensis</i> CBS8507
5365,1328758,Lentinus tigrinus ALCF2SS1-7,<i>Lentinus tigrinus</i> ALCF2SS1-7
5061,1353008,Aspergillus niger ATCC 13496,<i>Aspergillus niger</i> ATCC 13496
41068,1392248,Aspergillus campestris IBT 28561,<i>Aspergillus campestris</i> IBT 28561
306088,1392250,Aspergillus steynii IBT 23096,<i>Aspergillus steynii</i> IBT 23096
340412,1392255,Aspergillus novofumigatus IBT 16806,<i>Aspergillus novofumigatus</i> IBT 16806
138278,1392256,Aspergillus ochraceoroseus IBT 24754,<i>Aspergillus ochraceoroseus</i> IBT 24754
40410,1396488,Cryptococcus deneoformans XL280,<i>Cryptococcus deneoformans</i> XL280
29908,1397361,Sporothrix schenckii 1099-18,<i>Sporothrix schenckii</i> 1099-18
545650,1398154,Sporothrix brasiliensis 5110,<i>Sporothrix brasiliensis</i> 5110
42068,1408657,Pneumocystis jirovecii RU7,<i>Pneumocystis jirovecii</i> RU7
4754,1408658,Pneumocystis carinii B80,<i>Pneumocystis carinii</i> B80
40355,1442368,Fonsecaea pedrosoi CBS 271.37,<i>Fonsecaea pedrosoi</i> CBS 271.37
86056,1442369,Rhinocladiella mackenziei CBS 650.93,<i>Rhinocladiella mackenziei</i> CBS 650.93
89940,1442370,Cladophialophora bantiana CBS 173.52,<i>Cladophialophora bantiana</i> CBS 173.52
979981,1442371,Fonsecaea multimorphosa CBS 102226,<i>Fonsecaea multimorphosa</i> CBS 102226
1955774,1447872,Emergomyces pasteurianus Ep9510,<i>Emergomyces pasteurianus</i> Ep9510
1340029,1448314,Aspergillus eucalypticola CBS 122712,<i>Aspergillus eucalypticola</i> CBS 122712
446911,1448315,Aspergillus uvarum CBS 121591,<i>Aspergillus uvarum</i> CBS 121591
301854,1448316,Aspergillus ibericus CBS 121593,<i>Aspergillus ibericus</i> CBS 121593
487660,1448318,Aspergillus sclerotiicarbonarius CBS 121057,<i>Aspergillus sclerotiicarbonarius</i> CBS 121057
1191702,1448319,Aspergillus fijiensis CBS 313.89,<i>Aspergillus fijiensis</i> CBS 313.89
41066,1448320,Aspergillus ellipticus CBS 707.79,<i>Aspergillus ellipticus</i> CBS 707.79
51019,1448321,Aspergillus heteromorphus CBS 117.55,<i>Aspergillus heteromorphus</i> CBS 117.55
319626,1450537,Aspergillus homomorphus CBS 101889,<i>Aspergillus homomorphus</i> CBS 101889
40410,214684,Cryptococcus deneoformans JEC21,<i>Cryptococcus deneoformans</i> JEC21
199306,222929,Coccidioides posadasii C735 delta SOWgp,<i>Coccidioides posadasii</i> C735 delta SOWgp
1715222,2249419,Chaetothyriales sp. CBS 132003,<i>Chaetothyriales sp.</i> CBS 132003
162425,227321,Aspergillus nidulans FGSC A4,<i>Aspergillus nidulans</i> FGSC A4
5518,229533,Fusarium graminearum PH-1,<i>Fusarium graminearum</i> PH-1
5207,235443,Cryptococcus neoformans H99,<i>Cryptococcus neoformans</i> H99
5476,237561,Candida albicans SC5314,<i>Candida albicans</i> SC5314
5346,240176,Coprinopsis cinerea okayama7#130,<i>Coprinopsis cinerea</i> okayama7#130
318829,242507,Pyricularia oryzae 70-15,<i>Pyricularia oryzae</i> 70-15
936053,246409,Rhizopus delemar RA 99-880,<i>Rhizopus delemar</i> RA 99-880
5501,246410,Coccidioides immitis RS,<i>Coccidioides immitis</i> RS
2822231,273507,Phanerochaete chrysosporium RP-78,<i>Phanerodontia chrysosporium</i> RP-78
40410,283643,Cryptococcus deneoformans B-3501A,<i>Cryptococcus deneoformans</i> B-3501A
28985,284590,Kluyveromyces lactis NRRL Y-1140,<i>Kluyveromyces lactis</i> NRRL Y-1140
