value,same_count
2,9084
3,5815
4,4073
5,3109
6,2334
33,1985
34,1965
28,1935
32,1890
30,1861
35,1857
37,1855
36,1854
25,1846
22,1840
26,1836
21,1819
45,1816
40,1815
29,1801
39,1800
38,1799
27,1791
18,1784
44,1782
24,1780
42,1778
31,1775
46,1775
23,1763
7,1763
41,1757
20,1734
47,1679
19,1676
43,1667
48,1667
51,1661
17,1653
49,1652
54,1641
56,1641
14,1632
50,1631
15,1630
16,1626
61,1619
53,1608
52,1607
55,1595
60,1572
13,1555
66,1540
58,1537
72,1530
63,1529
62,1528
65,1521
57,1521
64,1511
59,1504
67,1499
70,1495
68,1484
71,1470
69,1459
12,1448
77,1429
8,1424
74,1406
76,1395
9,1389
78,1381
73,1375
80,1352
10,1345
11,1344
79,1337
75,1327
82,1286
85,1285
84,1276
83,1272
81,1244
88,1226
91,1213
86,1202
87,1199
90,1197
89,1187
92,1150
95,1130
96,1129
99,1110
98,1105
94,1089
102,1085
101,1081
93,1071
105,1037
97,1032
103,1013
100,1013
107,965
104,964
108,964
106,933
110,929
109,915
111,908
117,898
115,869
113,867
116,857
114,847
112,835
120,822
119,822
118,818
124,796
126,767
128,765
123,764
122,762
121,751
129,737
125,734
131,721
130,719
134,717
135,713
132,697
136,688
127,681
138,678
133,654
140,641
137,640
144,632
141,632
146,629
139,629
142,628
143,612
149,588
145,588
150,562
147,559
148,556
152,549
155,548
151,538
156,521
154,517
153,512
159,507
161,501
160,500
157,483
158,481
162,475
166,466
167,443
163,441
165,428
172,427
168,427
164,427
169,426
171,423
181,415
173,414
170,406
182,384
180,383
185,381
178,380
176,377
175,376
183,375
174,368
179,365
191,362
188,357
187,349
184,340
189,340
186,339
177,336
193,331
192,329
199,319
197,316
190,314
195,310
196,309
201,298
194,293
200,289
202,281
205,280
206,276
198,276
207,274
208,271
203,270
216,267
204,265
220,261
214,261
213,260
209,257
218,256
217,254
211,252
215,248
219,248
224,242
226,241
221,236
223,232
212,232
210,230
222,227
225,225
228,217
232,215
231,208
235,208
240,202
229,199
227,197
233,195
237,192
234,186
236,182
239,180
230,179
244,177
238,176
242,175
245,169
243,167
249,166
247,165
254,163
260,160
248,158
252,158
251,157
258,155
241,155
262,153
257,151
266,149
253,148
256,146
261,146
268,144
264,143
250,142
265,141
259,139
277,139
255,136
246,136
271,136
274,136
263,134
279,133
270,132
269,132
267,130
276,130
289,129
272,127
