subject_length,matched_bases,similarity
33034,33034,1.0
34446,34446,1.0
30536,30536,1.0
35937,35937,1.0
35938,35938,1.0
32621,32621,1.0
35524,35524,1.0
36519,36519,1.0
26263,26263,1.0
36001,36001,1.0
35514,35514,1.0
34794,34794,1.0
31323,31323,1.0
34185,34185,1.0
3603,3602,0.9997224535109631
3741,3737,0.9989307671745522
6483,6471,0.998149005090236
426,426,1.0
1140,789,0.6921052631578948
1115,591,0.5300448430493273
1754,1754,1.0
1194,1120,0.9380234505862647
1548,1483,0.9580103359173127
1612,1579,0.9795285359801489
1646,1436,0.8724179829890644
3414,3369,0.9868189806678384
1040,885,0.8509615384615384
1832,1604,0.8755458515283843
1439,1413,0.9819318971507992
1867,1833,0.9817889662560257
1147,1129,0.984306887532694
1635,1279,0.782262996941896
6964,1666,0.2392303273980471
1305,1297,0.9938697318007663
852,776,0.9107981220657277
330611,330611,1.0
11158,11158,1.0
9028,9028,1.0
168903,168903,1.0
10079,10079,1.0
37370,37370,1.0
40739,40739,1.0
5899,5897,0.9996609594846584
2744,2744,1.0
5596,5596,1.0
360,360,1.0
43785,43785,1.0
162114,162114,1.0
60942,60942,1.0
11550,11550,1.0
61670,61670,1.0
36717,36717,1.0
36524,36524,1.0
5454,5454,1.0
4415,4415,1.0
7320,7320,1.0
11014,11014,1.0
9760,9760,1.0
9799,9799,1.0
161773,161773,1.0
4003,4003,1.0
159857,159857,1.0
6825,6825,1.0
39600,39600,1.0
4113,4113,1.0
30624,30624,1.0
6087,6087,1.0
7349,7349,1.0
6744,6744,1.0
52297,52297,1.0
15465,15465,1.0
4789,4788,0.9997911881394863
329,329,1.0
4491,4491,1.0
7489,7489,1.0
3027,3027,1.0
2689,2689,1.0
124884,124884,1.0
112930,112930,1.0
302,302,1.0
7860,7860,1.0
7614,7614,1.0
7902,7902,1.0
7815,7815,1.0
7857,7857,1.0
5220,2785,0.5335249042145593
8533,8533,1.0
8323,8323,1.0
13246,13246,1.0
8273,8273,1.0
8101,8101,1.0
6395,6395,1.0
7308,7308,1.0
4679,4679,1.0
2630,2630,1.0
4788,4788,1.0
35937,35937,1.0
9392,9392,1.0
7286,7286,1.0
7555,7555,1.0
247,247,1.0
2994,2993,0.9996659986639946
8482,8482,1.0
8419,8419,1.0
48502,48502,1.0
3569,3569,1.0
5577,5577,1.0
14927,14927,1.0
5386,5386,1.0
19366,19366,1.0
3466,3466,1.0
2319,2319,1.0
7390,7390,1.0
8507,8507,1.0
10976,10976,1.0
6955,6955,1.0
4697,4697,1.0
9741,9741,1.0
11965,11965,1.0
9202,9202,1.0
34214,34214,1.0
7353,7353,1.0
7348,7348,1.0
12573,12573,1.0
246,246,1.0
9189,9189,1.0
371,371,1.0
1291,1291,1.0
2750,2750,1.0
4701,4699,0.9995745586045522
254,254,1.0
7389,7389,1.0
10723,10723,1.0
10707,10707,1.0
10735,10735,1.0
2701,2701,1.0
7835,7835,1.0
6331,6331,1.0
9474,9474,1.0
6151,6151,1.0
3311,3311,1.0
3027,3027,1.0
8952,8952,1.0
7478,7478,1.0
7212,7212,1.0
150224,150224,1.0
12734,12734,1.0
134226,134226,1.0
7462,7462,1.0
8024,8024,1.0
15894,15894,1.0
5894,5894,1.0
6296,6296,1.0
8332,8332,1.0
5833,5833,1.0
8805,8805,1.0
4266,4265,0.9997655883731833
3811,3811,1.0
5096,2763,0.5421899529042387
5149,5149,1.0
9256,9256,1.0
6211,6211,1.0
8785,8785,1.0
5307,5307,1.0
9640,9640,1.0
7945,7945,1.0
8374,8374,1.0
8095,8095,1.0
7906,7906,1.0
7746,7746,1.0
5153,5153,1.0
5323,5323,1.0
5517,5517,1.0
7868,7868,1.0
11932,11932,1.0
7437,7437,1.0
300,300,1.0
11703,11703,1.0
9623,9623,1.0
8557,8557,1.0
360,360,1.0
4776,4775,0.9997906197654941
9494,9494,1.0
6355,6355,1.0
1239,1239,1.0
360,360,1.0
10682,10682,1.0
7161,7161,1.0
4449,4449,1.0
7919,7919,1.0
7855,7855,1.0
7961,7961,1.0
7723,7723,1.0
7560,7560,1.0
7856,7856,1.0
8027,8027,1.0
7434,7434,1.0
15480,15480,1.0
4041,4041,1.0
39937,39937,1.0
7687,7687,1.0
11624,11624,1.0
7413,7413,1.0
13720,13720,1.0
9704,9704,1.0
7152,7152,1.0
3166,3166,1.0
8607,8607,1.0
133894,133894,1.0
4193,4193,1.0
3588,3588,1.0
22195,22195,1.0
12226,12226,1.0
4009,4009,1.0
8174,8174,1.0
14104,14104,1.0
4615,4615,1.0
6366,6366,1.0
2705,2705,1.0
8159,8159,1.0
184439,184439,1.0
315,315,1.0
11131,11131,1.0
7732,7732,1.0
9399,9399,1.0
6376,6376,1.0
19296,19296,1.0
4801,4801,1.0
5372,5372,1.0
159378,159378,1.0
5243,5243,1.0
9924,9924,1.0
11141,11141,1.0
7759,7759,1.0
8028,8028,1.0
7100,7100,1.0
7184,7184,1.0
7313,7313,1.0
7989,7989,1.0
4279,4279,1.0
32355,32355,1.0
5130,5130,1.0
5106,5106,1.0
8135,8135,1.0
22172,22172,1.0
9392,9392,1.0
153080,153080,1.0
5075,5075,1.0
3699,3699,1.0
10359,10359,1.0
10688,10688,1.0
7876,7876,1.0
4201,4201,1.0
6618,6618,1.0
4726,4726,1.0
6089,6089,1.0
190289,190289,1.0
30536,30536,1.0
8178,8178,1.0
4877,4877,1.0
6362,6362,1.0
6656,6656,1.0
6495,6495,1.0
7015,7015,1.0
9475,9475,1.0
3684,3684,1.0
3879,3879,1.0
1801,1801,1.0
10326,10326,1.0
11488,11488,1.0
7761,7761,1.0
1758,1758,1.0
6509,6509,1.0
154675,154675,1.0
8106,8106,1.0
6424,6424,1.0
9181,9181,1.0
15191,15191,1.0
152222,152222,1.0
10871,10871,1.0
6227,6227,1.0
9535,9535,1.0
8855,8855,1.0
3803,3803,1.0
3662,3662,1.0
102653,102653,1.0
19343,19343,1.0
119451,119451,1.0
4767,4767,1.0
315,315,1.0
12002,12002,1.0
9264,9264,1.0
28451,28451,1.0
16934,16934,1.0
7206,7206,1.0
10820,10820,1.0
145597,145597,1.0
7414,7414,1.0
3392,3392,1.0
12708,12708,1.0
2706,2706,1.0
6311,6311,1.0
10011,10011,1.0
131995,131995,1.0
34446,34446,1.0
134416,134416,1.0
8088,8088,1.0
9384,9384,1.0
4215,4215,1.0
33593,33593,1.0
7348,7348,1.0
5941,5941,1.0
49127,49127,1.0
46375,46375,1.0
26111,26111,1.0
18234,18234,1.0
31754,31754,1.0
8002,8002,1.0
366,366,1.0
15690,15690,1.0
8448,8448,1.0
15644,15644,1.0
6813,6813,1.0
1993,1993,1.0
8372,8372,1.0
8744,8744,1.0
8454,8454,1.0
8651,8651,1.0
26263,26263,1.0
15428,15428,1.0
128413,128413,1.0
5163,5163,1.0
5202,5202,1.0
161046,161046,1.0
6035,6035,1.0
41491,41491,1.0
108409,108409,1.0
15140,15140,1.0
6625,6625,1.0
236120,236120,1.0
4529,4529,1.0
6883,6883,1.0
356,356,1.0
359,359,1.0
10862,10862,1.0
7440,7440,1.0
5284,5284,1.0
5241,5241,1.0
8832,8832,1.0
34815,34815,1.0
3852,3852,1.0
4718,4718,1.0
5695,5695,1.0
15456,15456,1.0
6099,6099,1.0
40751,40751,1.0
39732,39732,1.0
4532,4532,1.0
35466,35466,1.0
4014,4014,1.0
288539,288539,1.0
3909,3909,1.0
4563,4563,1.0
2915,2915,1.0
5662,5662,1.0
17904,17904,1.0
15384,15384,1.0
12035,12035,1.0
39807,39807,1.0
177874,177874,1.0
7565,7565,1.0
13222,13222,1.0
29355,29355,1.0
41401,41401,1.0
178733,178733,1.0
2037,2037,1.0
8784,8784,1.0
6891,6891,1.0
41724,41724,1.0
8432,8432,1.0
6440,6440,1.0
7003,7003,1.0
56426,56426,1.0
45636,45636,1.0
8018,8018,1.0
26163,26163,1.0
9835,9835,1.0
2764,2764,1.0
230138,230138,1.0
33034,33034,1.0
11660,11660,1.0
39898,39896,0.9999498721740439
232392,232392,1.0
14900,14900,1.0
130608,130608,1.0
12704,12704,1.0
3080,3080,1.0
9491,9491,1.0
18959,18959,1.0
8284,8284,1.0
8612,8612,1.0
5194,2782,0.535618020793223
5194,2732,0.5259915286869464
4148,4148,1.0
6364,6364,1.0
100999,100999,1.0
4326,4326,1.0
9709,9709,1.0
336,336,1.0
6827,6827,1.0
7442,7442,1.0
4082,4082,1.0
31007,31007,1.0
6562,6562,1.0
9588,9588,1.0
10649,10649,1.0
159160,159160,1.0
144575,144575,1.0
4594,4594,1.0
27317,27317,1.0
21129,21129,1.0
131405,131405,1.0
50550,50550,1.0
12301,12301,1.0
42942,42942,1.0
108873,108873,1.0
35538,35538,1.0
41834,41834,1.0
36949,36949,1.0
31301,31301,1.0
124784,124784,1.0
335593,335593,1.0
6383,6383,1.0
4268,4268,1.0
5358,5358,1.0
32621,32621,1.0
38347,38347,1.0
18246,18246,1.0
7352,7352,1.0
38297,38297,1.0
893,893,1.0
682,682,1.0
37667,37667,1.0
5776,5776,1.0
6366,6366,1.0
6311,6311,1.0
195859,195859,1.0
8657,8657,1.0
11019,11019,1.0
6614,6614,1.0
123500,123500,1.0
2767,2767,1.0
2748,2748,1.0
10205,10205,1.0
150773,150773,1.0
7687,7687,1.0
212482,212482,1.0
31028,31028,1.0
40248,40248,1.0
1821,1821,1.0
5853,5853,1.0
8072,8072,1.0
118584,118584,1.0
108252,108252,1.0
49534,49534,1.0
15717,15717,1.0
7560,7560,1.0
130759,130759,1.0
139342,139342,1.0
9476,9476,1.0
8303,8303,1.0
43106,43106,1.0
16492,16492,1.0
1114,1114,1.0
40900,40900,1.0
11442,11442,1.0
40834,40834,1.0
9591,9591,1.0
309286,309286,1.0
11822,11822,1.0
292,292,1.0
35994,35994,1.0
35580,35580,1.0
43081,43081,1.0
37618,37618,1.0
53373,53373,1.0
6834,6834,1.0
33106,33106,1.0
31508,31508,1.0
8918,8918,1.0
57416,57416,1.0
6882,6882,1.0
77672,77672,1.0
5076,5076,1.0
7564,7564,1.0
7879,7879,1.0
6298,6298,1.0
42575,42575,1.0
2737,2737,1.0
5964,5964,1.0
8660,8660,1.0
8405,8405,1.0
9515,9515,1.0
7767,7767,1.0
2672,2672,1.0
220,220,1.0
7389,7389,1.0
7559,7559,1.0
52797,52797,1.0
146454,146454,1.0
46675,46675,1.0
205719,205719,1.0
9992,9992,1.0
9596,9596,1.0
9324,9324,1.0
133719,133719,1.0
1347,1347,1.0
1353,1353,1.0
1952,1952,1.0
5698,5698,1.0
1360,1360,1.0
11411,11411,1.0
2741,2741,1.0
11900,11900,1.0
2746,2746,1.0
28033,28033,1.0
4421,4421,1.0
15646,15646,1.0
37074,37074,1.0
5804,5804,1.0
15600,15600,1.0
9332,9332,1.0
306,306,1.0
3762,3761,0.9997341839447103
5722,5722,1.0
9532,9532,1.0
2561,2561,1.0
111362,111362,1.0
836,836,1.0
7932,7932,1.0
8512,8511,0.9998825187969925
4763,4763,1.0
9672,9672,1.0
14116,7673,0.5435675828846699
241087,241087,1.0
1104,1104,1.0
33507,33507,1.0
155060,155060,1.0
4733,4732,0.999788717515318
322,322,1.0
12507,12506,0.999920044774926
4029,4028,0.9997517994539588
9584,9584,1.0
10038,10038,1.0
370,370,1.0
284,284,1.0
399,399,1.0
369,369,1.0
7743,7743,1.0
6277,6277,1.0
2766,2766,1.0
8363,8363,1.0
1004,1004,1.0
1015,1015,1.0
5283,5283,1.0
7599,7599,1.0
4019,4019,1.0
7351,7351,1.0
10080,10080,1.0
9779,9779,1.0
5179,5179,1.0
3911,3911,1.0
2757,2757,1.0
6514,6514,1.0
256,256,1.0
363,363,1.0
370,370,1.0
11832,11831,0.9999154834347532
4437,4437,1.0
9871,9871,1.0
6357,6357,1.0
1168,1168,1.0
7059,7059,1.0
4114,4114,1.0
6673,6673,1.0
10600,10600,1.0
337,337,1.0
360,360,1.0
1009,1009,1.0
1000,1000,1.0
1022,1022,1.0
224499,224499,1.0
10140,10140,1.0
10116,10116,1.0
12602,12602,1.0
12333,12333,1.0
5273,5273,1.0
248,248,1.0
301,301,1.0
364,364,1.0
10839,10839,1.0
5669,5669,1.0
7383,7383,1.0
10943,10943,1.0
