col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
22,1001240,DSM 21065,1001240.6,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/200/405/GCF_014200405.1_ASM1420040v1,2,1001240.6.fna,GCF_014200405.1_ASM1420040v1_genomic.fna, 4531652, 4531652,1001240.6.fna_vs_GCF_014200405.1_ASM1420040v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4531652,0,0,0,0,0,0,1001240_subject_array_1738727576.bin
27,1001582,LL3,1001582.3,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/275/GCF_000204275.1_ASM20427v1,2,1001582.3.fna,GCF_000204275.1_ASM20427v1_genomic.fna, 4001985, 4001985,1001582.3.fna_vs_GCF_000204275.1_ASM20427v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4001985,0,0,0,0,0,0,1001582_subject_array_1738727578.bin
40,1001705,1S-152-0914,1001705.3,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/285/GCF_000271285.1_ASM27128v1,2,1001705.3.fna,GCF_000271285.1_ASM27128v1_genomic.fna, 4897666, 4897666,1001705.3.fna_vs_GCF_000271285.1_ASM27128v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4897666,0,0,0,0,0,0,1001705_subject_array_1738727579.bin
91,100225,LK16-18,100225.4,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/391/095/GCF_003391095.1_ASM339109v1,2,100225.4.fna,GCF_003391095.1_ASM339109v1_genomic.fna, 3631970, 3631970,100225.4.fna_vs_GCF_003391095.1_ASM339109v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3631970,0,0,0,0,0,0,100225_subject_array_1738727581.bin
106,1002795,MB620,1002795.3,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/732/155/GCF_015732155.1_ASM1573215v1,2,1002795.3.fna,GCF_015732155.1_ASM1573215v1_genomic.fna, 2691682, 2691682,1002795.3.fna_vs_GCF_015732155.1_ASM1573215v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2691682,0,0,0,0,0,0,1002795_subject_array_1738727582.bin
107,1002804,CIII-1,1002804.6,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/285/GCF_000237285.1_ASM23728v1,2,1002804.6.fna,GCF_000237285.1_ASM23728v1_genomic.fna, 1807534, 1807534,1002804.6.fna_vs_GCF_000237285.1_ASM23728v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,9154,1798380,0,0,0,0,0,0,1002804_subject_array_1738727583.bin
108,1002809,StLB046,1002809.3,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/325/GCF_000271325.1_ASM27132v1,2,1002809.3.fna,GCF_000271325.1_ASM27132v1_genomic.fna, 3984229, 3984229,1002809.3.fna_vs_GCF_000271325.1_ASM27132v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3984229,0,0,0,0,0,0,1002809_subject_array_1738727585.bin
114,1003110,NRRL B-24793,1003110.4,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/507/315/GCF_001507315.1_ASM150731v1,2,1003110.4.fna,GCF_001507315.1_ASM150731v1_genomic.fna, 6673947, 6673947,1003110.4.fna_vs_GCF_001507315.1_ASM150731v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6673947,0,0,0,0,0,0,1003110_subject_array_1738727588.bin
118,1003195,DSM 46488,1003195.29,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/165/GCF_000240165.1_ASM24016v1,2,1003195.29.fna,GCF_000240165.1_ASM24016v1_genomic.fna, 8095515, 8095515,1003195.29.fna_vs_GCF_000240165.1_ASM24016v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8095515,0,0,0,0,0,0,1003195_subject_array_1738727591.bin
119,1003195,NRRL 8057,1003195.11,2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/305/GCF_000237305.1_ASM23730v1,2,1003195.11.fna,GCF_000237305.1_ASM23730v1_genomic.fna, 8092553, 8092553,1003195.11.fna_vs_GCF_000237305.1_ASM23730v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8092553,0,0,0,0,0,0,1003195_subject_array_1738727594.bin
