Index	Sequence ID	Virus Tax ID	FTP Path	RefSeq Filename
139	AC_000001	114424	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/895/GCF_000885895.1_ViralProj40309	GCF_000885895.1_ViralProj40309_genomic.fna
140	AC_000002	129950	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/255/GCF_000885255.1_ViralProj40311	GCF_000885255.1_ViralProj40311_genomic.fna
141	AC_000003	10512	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/845/GCF_000857845.1_ViralProj15101	GCF_000857845.1_ViralProj15101_genomic.fna
142	AC_000004	130328	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/775/GCF_000886775.1_ViralProj40313	GCF_000886775.1_ViralProj40313_genomic.fna
144	AC_000006	130310	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/625/GCF_000858625.1_ViralProj15105	GCF_000858625.1_ViralProj15105_genomic.fna
145	AC_000007	10515	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/465/GCF_000859465.1_ViralProj15106	GCF_000859465.1_ViralProj15106_genomic.fna
146	AC_000008	28285	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/865/GCF_000857865.1_ViralProj15107	GCF_000857865.1_ViralProj15107_genomic.fna
147	AC_000009	3241440	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/915/GCF_000885915.1_ViralProj40317	GCF_000885915.1_ViralProj40317_genomic.fna
148	AC_000010	198503	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/245/GCF_000847245.1_ViralProj14607	GCF_000847245.1_ViralProj14607_genomic.fna
149	AC_000011	175567	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/905/GCF_000848905.1_ViralProj14608	GCF_000848905.1_ViralProj14608_genomic.fna
153	AC_000016	298333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/905/GCF_000856905.1_ViralProj15112	GCF_000856905.1_ViralProj15112_genomic.fna
154	AC_000017	10533	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/645/GCF_000858645.1_ViralProj15113	GCF_000858645.1_ViralProj15113_genomic.fna
155	AC_000018	10519	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/485/GCF_000859485.1_ViralProj15114	GCF_000859485.1_ViralProj15114_genomic.fna
156	AC_000019	10522	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/885/GCF_000857885.1_ViralProj15115	GCF_000857885.1_ViralProj15115_genomic.fna
157	AC_000020	10514	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/885/GCF_000856885.1_ViralProj15102	GCF_000856885.1_ViralProj15102_genomic.fna
160	AC_000191	129953	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/265/GCF_000847265.1_ViralProj14612	GCF_000847265.1_ViralProj14612_genomic.fna
200	AF133051	64462	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/665/GCF_002829665.1_ASM282966v1	GCF_002829665.1_ASM282966v1_genomic.fna
201	AF133052	64461	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/685/GCF_002829685.1_ASM282968v1	GCF_002829685.1_ASM282968v1_genomic.fna
807	D84000	12240	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/866/985/GCF_002866985.1_ASM286698v1	GCF_002866985.1_ASM286698v1_genomic.fna
2035	JX997169	46019	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/625/GCF_002827625.1_ASM282762v1	GCF_002827625.1_ASM282762v1_genomic.fna
3800	KY385304	674908	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/585/GCF_002828585.1_ASM282858v1	GCF_002828585.1_ASM282858v1_genomic.fna
3906	KY823429	185692	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/895/GCF_002817895.1_ASM281789v1	GCF_002817895.1_ASM281789v1_genomic.fna
3989	LC511903	114923	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/345/GCF_002828345.1_ASM282834v1	GCF_002828345.1_ASM282834v1_genomic.fna
3999	LC564887	255521	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/830/645/GCF_002830645.1_ASM283064v1	GCF_002830645.1_ASM283064v1_genomic.fna
4033	LC604020	341111	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/828/925/GCF_002828925.1_ASM282892v1	GCF_002828925.1_ASM282892v1_genomic.fna
4141	LC658681	430059	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/145/GCF_002829145.1_ASM282914v1	GCF_002829145.1_ASM282914v1_genomic.fna
6773	MH779474	369762	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/545/GCF_002987545.1_ASM298754v1	GCF_002987545.1_ASM298754v1_genomic.fna
6862	MH886517	12229	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/105/GCF_002829105.1_ASM282910v1	GCF_002829105.1_ASM282910v1_genomic.fna
8534	MK770418	241525	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/515/GCF_002817515.1_ASM281751v1	GCF_002817515.1_ASM281751v1_genomic.fna
8905	MN116683	565624	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/987/555/GCF_002987555.1_ASM298755v1	GCF_002987555.1_ASM298755v1_genomic.fna
