genome_id,name,refseq_acc,bv_assembly_accession,subject_length,bv_len,sim,same_assembly,bv_genome_status,category
135577.1,,GCF_024584785.1,,2900277,,0.0642111081113976,False,,no current BV-BRC record
2749086.3,Hyphobacterium sp. CCMP332,GCF_014323565.1,GCA_014323545.1,2690927,3325929.0,0.0006990156180379,False,Complete,valid genome - discrepancy surfaced by CDGC
2909587.5,Microbacterium sp. KUDC0405,GCF_021582895.2,GCA_021582895.2,3568380,3610832.0,0.2332254412366396,True,Complete,valid genome - discrepancy surfaced by CDGC
3075824.3,Streptomyces sp. AM2-3-1,GCF_032229305.1,,9114769,8473713.0,0.3527205132680817,False,Deprecated,flagged (deprecated)
3075825.3,Streptomyces sp. AM8-1-1,GCF_032229325.1,,8473713,9114769.0,0.3758824496416152,False,Deprecated,flagged (deprecated)
680198.5,Streptomyces scabiei 87.22,GCF_000091305.1,GCA_000091305.1,10148695,10148695.0,0.1845161372964701,True,Complete,valid genome - discrepancy surfaced by CDGC
1352.15661,Enterococcus faecium K189-3,GCF_028335605.1,GCA_028335605.1,2835173,2835173.0,0.0981894226560425,True,Complete,valid genome - discrepancy surfaced by CDGC
1352.15662,Enterococcus faecium K75-1,GCF_028335565.1,GCA_028335565.1,2837343,2837343.0,0.0984928505295271,True,Complete,valid genome - discrepancy surfaced by CDGC
1612.66,Companilactobacillus farciminis K68-8,GCF_028335385.1,GCA_028335385.1,2521260,2521260.0,0.0007194815290767,True,Complete,valid genome - discrepancy surfaced by CDGC
2592382.3,Bacillus sp. M4U3P1,GCF_006965545.2,GCA_006965545.1,4040495,4194453.0,0.0356691444983844,True,Deprecated,flagged (deprecated)
440524.196,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- LSP 207/07",GCF_028561885.1,GCA_028561885.1,4955281,4955281.0,0.0429101800684966,True,WGS,valid genome - discrepancy surfaced by CDGC
470.19919,Acinetobacter baumannii 2022CK-00340,GCF_023615745.1,GCA_023615745.2,4048078,4048078.0,0.0048976329013423,True,Complete,valid genome - discrepancy surfaced by CDGC
582.853,Morganella morganii RB10,GCF_038069795.1,,3883272,3883272.0,0.002766223947228,False,WGS,valid genome - discrepancy surfaced by CDGC
645.521,Aeromonas salmonicida AS1,GCF_028356375.1,GCA_028356375.1,4787431,4787431.0,0.0607898056389742,True,Complete,valid genome - discrepancy surfaced by CDGC
67574.7,Microbacterium keratanolyticum VKM Ac-1958,GCF_027921965.1,GCA_027921965.1,3061327,3061327.0,0.3900801841815657,True,WGS,valid genome - discrepancy surfaced by CDGC
81947.3,,GCF_028335285.1,,2107164,,0.0159432298577614,False,,no current BV-BRC record
1351.7933,Enterococcus faecalis SVR2085,GCF_028116745.1,GCA_028116745.1,3600715,3600715.0,0.0314129277101908,True,Complete,valid genome - discrepancy surfaced by CDGC
1352.15658,Enterococcus faecium K162-1,GCF_028335525.1,GCA_028335525.1,2862866,2862866.0,0.0160066870052597,True,Complete,valid genome - discrepancy surfaced by CDGC
159.35,,GCF_027585665.1,,3123502,,0.3747668482363706,False,,no current BV-BRC record
1590.3439,Lactiplantibacillus plantarum ZW59,GCF_027920405.1,GCA_027920405.1,3212787,3212787.0,0.0567538402016691,True,Complete,valid genome - discrepancy surfaced by CDGC
28450.2592,Burkholderia pseudomallei 17MB032174,GCF_027856915.2,GCA_027856915.2,7075615,7075615.0,0.4548647714721618,True,WGS,valid genome - discrepancy surfaced by CDGC
28450.2587,Burkholderia pseudomallei 19MB054434,GCF_027856845.2,GCA_027856845.2,7075601,7075601.0,0.4548831964945451,True,WGS,valid genome - discrepancy surfaced by CDGC
28450.2563,Burkholderia pseudomallei 22MB037893,GCF_027853995.2,GCA_027853995.2,7075424,7075424.0,0.4548612210377781,True,WGS,valid genome - discrepancy surfaced by CDGC
28450.2575,Burkholderia pseudomallei 22MB253551,GCF_027856535.2,GCA_027856535.2,7052457,7062547.0,0.4529568914776793,True,WGS,valid genome - discrepancy surfaced by CDGC
28450.257,Burkholderia pseudomallei strain 59,GCF_027856445.2,GCF_001320365.1,7075674,7088201.0,0.4547997830312702,False,WGS,valid genome - discrepancy surfaced by CDGC
287.28405,Pseudomonas aeruginosa PaLo47,GCF_027855945.1,GCA_027855945.1,6286589,6286589.0,0.4711007829524087,True,WGS,valid genome - discrepancy surfaced by CDGC
2929573.3,Lactobacillaceae bacterium WR16-4,GCF_027923585.1,GCA_027923585.1,1672155,1672155.0,0.0130861074481731,True,WGS,valid genome - discrepancy surfaced by CDGC
2940490.3,Acidovorax sp. NCPPB 4044,GCF_028069655.1,GCA_028069655.1,5319379,5319379.0,0.0106354519954302,True,WGS,valid genome - discrepancy surfaced by CDGC
485.18198,Neisseria gonorrhoeae SE690.,GCF_028483175.2,GCA_028483175.2,2219571,2218634.0,0.0203994375489677,True,Complete,valid genome - discrepancy surfaced by CDGC
562.12194,,GCF_027944575.1,,5629596,,0.0390733189379841,False,,no current BV-BRC record
562.121727,Escherichia coli NR3568,GCF_027584315.1,GCA_027584315.1,5061882,5061882.0,0.0629451654542717,True,WGS,valid genome - discrepancy surfaced by CDGC
562.122058,Escherichia coli SWL,GCF_028210175.1,GCA_028210175.1,5064331,5064331.0,0.045108820888682,True,WGS,valid genome - discrepancy surfaced by CDGC
563996.7,Sphingomonas hankookensis SZ.B2R2,GCF_028551275.1,GCA_028551275.1,3947172,3947172.0,0.1129672079149325,True,Complete,valid genome - discrepancy surfaced by CDGC
573.53583,Klebsiella pneumoniae CRKP_27,GCF_028221065.1,GCA_028221065.1,5622656,5622656.0,0.0381387372800327,True,Complete,valid genome - discrepancy surfaced by CDGC
573.53475,Klebsiella pneumoniae KP0247,GCF_027584575.1,GCA_027584575.1,5487050,5487050.0,0.0381563864007071,True,WGS,valid genome - discrepancy surfaced by CDGC
584.2441,Proteus mirabilis 279-2f,GCF_028463225.1,GCA_028463225.1,3957638,3957638.0,0.0264966123733398,True,WGS,valid genome - discrepancy surfaced by CDGC
670.6487,Vibrio parahaemolyticus Vp2015094,GCF_028472865.1,GCA_028472865.1,5390123,5390123.0,0.3903460088016544,True,Complete,valid genome - discrepancy surfaced by CDGC
72407.2049,Klebsiella pneumoniae subsp. pneumoniae DD01665,GCF_027594945.1,GCA_027594945.1,5793401,5793401.0,0.061514471378729,True,Complete,valid genome - discrepancy surfaced by CDGC
72407.205,Klebsiella pneumoniae subsp. pneumoniae 1806,GCF_027594925.1,,5927907,5585317.0,0.0743640208930403,False,WGS,valid genome - discrepancy surfaced by CDGC
72407.2047,Klebsiella pneumoniae subsp. pneumoniae DD02357,GCF_027594905.1,GCA_027594905.1,5807054,5807054.0,0.0634383630667116,True,Complete,valid genome - discrepancy surfaced by CDGC
72407.2048,Klebsiella pneumoniae subsp. pneumoniae H39,GCF_027594885.1,GCA_027594885.1,5804876,5804876.0,0.0652222373053274,True,Complete,valid genome - discrepancy surfaced by CDGC
158836.2091,Enterobacter hormaechei NR0852,GCF_027584755.1,GCA_027584755.1,5416871,5416871.0,0.0165440528304993,True,WGS,valid genome - discrepancy surfaced by CDGC
2364647.34,Kalamiella piersonii URMC-2103A041,GCF_027920325.1,GCA_027920325.1,4990348,4990348.0,0.1081652021061457,True,Complete,valid genome - discrepancy surfaced by CDGC
2382163.8,Streptococcus koreensis AF07-19,GCF_027687665.1,GCA_027687665.1,2006976,2006976.0,0.1733189634554673,True,WGS,valid genome - discrepancy surfaced by CDGC
28450.2595,Burkholderia pseudomallei 16MB038851,GCF_027856965.2,GCA_027856965.2,7071205,7071205.0,0.4544926925467442,True,WGS,valid genome - discrepancy surfaced by CDGC
3017781.3,Paracoccus sp. SCSIO 75817,GCF_027913215.1,GCA_027913215.1,3558095,3558095.0,0.0134524232770625,True,Complete,valid genome - discrepancy surfaced by CDGC
3017784.3,Paracoccus sp. SCSIO 80058,GCF_027913035.1,GCA_027913035.1,3761358,3761358.0,0.0680339388061439,True,Complete,valid genome - discrepancy surfaced by CDGC
34002.14,Paracoccus alcaliphilus TK 1015 = DSM 8512,GCF_028553725.1,GCA_028553725.1,4772712,4772712.0,0.221386289388507,True,Complete,valid genome - discrepancy surfaced by CDGC
562.121967,Escherichia coli 7.1994/NIST0056,GCF_027947615.1,GCA_027947615.1,5169085,5169085.0,0.0772115374384441,True,Complete,valid genome - discrepancy surfaced by CDGC
562.12195,,GCF_027944935.1,,5035597,,0.0335106244602179,False,,no current BV-BRC record
573.53611,Klebsiella pneumoniae CRKP_1,GCF_028226565.1,GCA_028226565.1,5838431,5838431.0,0.0734404500113129,True,Complete,valid genome - discrepancy surfaced by CDGC
573.53592,Klebsiella pneumoniae CRKP_21,GCF_028221515.1,GCA_028221515.1,5895132,5895132.0,0.0537814929334915,True,Complete,valid genome - discrepancy surfaced by CDGC
573.53591,Klebsiella pneumoniae CRKP_22,GCF_028221225.1,GCA_028221225.1,5774168,5774168.0,0.0740562103492659,True,Complete,valid genome - discrepancy surfaced by CDGC
573.53635,Klebsiella pneumoniae PEKP3087,GCF_028527425.1,GCA_028527425.1,5845596,5845596.0,0.1031489346851886,True,WGS,valid genome - discrepancy surfaced by CDGC
