genome_id,name,refseq_acc,bv_assembly_accession,subject_length,bv_len,sim,same_assembly
135577.1,,GCF_024584785.1,,2900277,,0.06421110811139763,False
2749086.3,Hyphobacterium sp. CCMP332,GCF_014323565.1,GCA_014323545.1,2690927,3325929.0,0.0006990156180379475,False
2909587.5,Microbacterium sp. KUDC0405,GCF_021582895.2,GCA_021582895.2,3568380,3610832.0,0.2332254412366396,True
3075824.3,Streptomyces sp. AM2-3-1,GCF_032229305.1,,9114769,8473713.0,0.35272051326808174,False
3075825.3,Streptomyces sp. AM8-1-1,GCF_032229325.1,,8473713,9114769.0,0.3758824496416152,False
680198.5,Streptomyces scabiei 87.22,GCF_000091305.1,GCA_000091305.1,10148695,10148695.0,0.18451613729647015,True
1352.15661,Enterococcus faecium K189-3,GCF_028335605.1,GCA_028335605.1,2835173,2835173.0,0.09818942265604251,True
1352.15662,Enterococcus faecium K75-1,GCF_028335565.1,GCA_028335565.1,2837343,2837343.0,0.0984928505295271,True
1612.66,Companilactobacillus farciminis K68-8,GCF_028335385.1,GCA_028335385.1,2521260,2521260.0,0.0007194815290767314,True
2592382.3,Bacillus sp. M4U3P1,GCF_006965545.2,GCA_006965545.1,4040495,4194453.0,0.03566914449838448,True
440524.196,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- LSP 207/07",GCF_028561885.1,GCA_028561885.1,4955281,4955281.0,0.04291018006849662,True
470.19919,Acinetobacter baumannii 2022CK-00340,GCF_023615745.1,GCA_023615745.2,4048078,4048078.0,0.004897632901342316,True
582.853,Morganella morganii RB10,GCF_038069795.1,,3883272,3883272.0,0.0027662239472280078,False
645.521,Aeromonas salmonicida AS1,GCF_028356375.1,GCA_028356375.1,4787431,4787431.0,0.06078980563897422,True
67574.7,Microbacterium keratanolyticum VKM Ac-1958,GCF_027921965.1,GCA_027921965.1,3061327,3061327.0,0.3900801841815657,True
81947.3,,GCF_028335285.1,,2107164,,0.015943229857761428,False
1351.7933,Enterococcus faecalis SVR2085,GCF_028116745.1,GCA_028116745.1,3600715,3600715.0,0.03141292771019089,True
1352.15658,Enterococcus faecium K162-1,GCF_028335525.1,GCA_028335525.1,2862866,2862866.0,0.016006687005259763,True
159.35,,GCF_027585665.1,,3123502,,0.3747668482363706,False
1590.3439,Lactiplantibacillus plantarum ZW59,GCF_027920405.1,GCA_027920405.1,3212787,3212787.0,0.05675384020166914,True
28450.2592,Burkholderia pseudomallei 17MB032174,GCF_027856915.2,GCA_027856915.2,7075615,7075615.0,0.4548647714721618,True
28450.2587,Burkholderia pseudomallei 19MB054434,GCF_027856845.2,GCA_027856845.2,7075601,7075601.0,0.4548831964945451,True
28450.2563,Burkholderia pseudomallei 22MB037893,GCF_027853995.2,GCA_027853995.2,7075424,7075424.0,0.4548612210377781,True
28450.2575,Burkholderia pseudomallei 22MB253551,GCF_027856535.2,GCA_027856535.2,7052457,7062547.0,0.4529568914776793,True
28450.257,Burkholderia pseudomallei strain 59,GCF_027856445.2,GCF_001320365.1,7075674,7088201.0,0.4547997830312702,False
287.28405,Pseudomonas aeruginosa PaLo47,GCF_027855945.1,GCA_027855945.1,6286589,6286589.0,0.4711007829524087,True
2929573.3,Lactobacillaceae bacterium WR16-4,GCF_027923585.1,GCA_027923585.1,1672155,1672155.0,0.013086107448173167,True
2940490.3,Acidovorax sp. NCPPB 4044,GCF_028069655.1,GCA_028069655.1,5319379,5319379.0,0.010635451995430294,True
485.18198,Neisseria gonorrhoeae SE690.,GCF_028483175.2,GCA_028483175.2,2219571,2218634.0,0.020399437548967798,True
562.12194,,GCF_027944575.1,,5629596,,0.03907331893798418,False
562.121727,Escherichia coli NR3568,GCF_027584315.1,GCA_027584315.1,5061882,5061882.0,0.06294516545427176,True
562.122058,Escherichia coli SWL,GCF_028210175.1,GCA_028210175.1,5064331,5064331.0,0.04510882088868204,True
563996.7,Sphingomonas hankookensis SZ.B2R2,GCF_028551275.1,GCA_028551275.1,3947172,3947172.0,0.11296720791493252,True
573.53583,Klebsiella pneumoniae CRKP_27,GCF_028221065.1,GCA_028221065.1,5622656,5622656.0,0.03813873728003278,True
573.53475,Klebsiella pneumoniae KP0247,GCF_027584575.1,GCA_027584575.1,5487050,5487050.0,0.03815638640070712,True
584.2441,Proteus mirabilis 279-2f,GCF_028463225.1,GCA_028463225.1,3957638,3957638.0,0.026496612373339855,True
670.6487,Vibrio parahaemolyticus Vp2015094,GCF_028472865.1,GCA_028472865.1,5390123,5390123.0,0.39034600880165443,True
72407.2049,Klebsiella pneumoniae subsp. pneumoniae DD01665,GCF_027594945.1,GCA_027594945.1,5793401,5793401.0,0.06151447137872901,True
72407.205,Klebsiella pneumoniae subsp. pneumoniae 1806,GCF_027594925.1,,5927907,5585317.0,0.07436402089304033,False
72407.2047,Klebsiella pneumoniae subsp. pneumoniae DD02357,GCF_027594905.1,GCA_027594905.1,5807054,5807054.0,0.06343836306671162,True
72407.2048,Klebsiella pneumoniae subsp. pneumoniae H39,GCF_027594885.1,GCA_027594885.1,5804876,5804876.0,0.06522223730532745,True
158836.2091,Enterobacter hormaechei NR0852,GCF_027584755.1,GCA_027584755.1,5416871,5416871.0,0.016544052830499378,True
2364647.34,Kalamiella piersonii URMC-2103A041,GCF_027920325.1,GCA_027920325.1,4990348,4990348.0,0.1081652021061457,True
2382163.8,Streptococcus koreensis AF07-19,GCF_027687665.1,GCA_027687665.1,2006976,2006976.0,0.17331896345546732,True
28450.2595,Burkholderia pseudomallei 16MB038851,GCF_027856965.2,GCA_027856965.2,7071205,7071205.0,0.4544926925467442,True
3017781.3,Paracoccus sp. SCSIO 75817,GCF_027913215.1,GCA_027913215.1,3558095,3558095.0,0.013452423277062586,True
3017784.3,Paracoccus sp. SCSIO 80058,GCF_027913035.1,GCA_027913035.1,3761358,3761358.0,0.06803393880614395,True
34002.14,Paracoccus alcaliphilus TK 1015 = DSM 8512,GCF_028553725.1,GCA_028553725.1,4772712,4772712.0,0.221386289388507,True
562.121967,Escherichia coli 7.1994/NIST0056,GCF_027947615.1,GCA_027947615.1,5169085,5169085.0,0.07721153743844414,True
562.12195,,GCF_027944935.1,,5035597,,0.03351062446021792,False
573.53611,Klebsiella pneumoniae CRKP_1,GCF_028226565.1,GCA_028226565.1,5838431,5838431.0,0.07344045001131297,True
573.53592,Klebsiella pneumoniae CRKP_21,GCF_028221515.1,GCA_028221515.1,5895132,5895132.0,0.05378149293349157,True
573.53591,Klebsiella pneumoniae CRKP_22,GCF_028221225.1,GCA_028221225.1,5774168,5774168.0,0.0740562103492659,True
573.53635,Klebsiella pneumoniae PEKP3087,GCF_028527425.1,GCA_028527425.1,5845596,5845596.0,0.10314893468518864,True
573.5363,,GCF_028527315.1,,5759226,,0.08817278571808086,False
573.53502,Klebsiella pneumoniae S37_CRE38,GCF_027595745.1,GCA_027595745.1,5640356,5640356.0,0.03503218591166941,True
1134687.752,Klebsiella michiganensis 2563,GCF_027945215.1,GCA_027945215.1,6720861,6720861.0,0.11528121173760326,True
1590.3453,Lactiplantibacillus plantarum MWLp-12,GCF_028463965.1,GCA_028463965.1,3274303,3274303.0,0.05400660842933595,True
1681.1208,Bifidobacterium bifidum 1025st1_E4_1025SCRN_200924,GCF_028201935.1,GCA_028201935.1,2162904,2162904.0,0.07586652019692043,True
37734.283,Enterococcus casseliflavus CQFYY22-063,GCF_027944555.1,GCA_027944555.1,3512545,3512545.0,0.04700808103526076,True
47716.206,Streptomyces olivaceus DC10-5,GCF_027925645.1,GCA_027925645.1,8657427,8657427.0,0.4597491841398143,True
562.122255,Escherichia coli CUVM3,GCF_028551195.1,GCA_028551195.1,5407506,5407506.0,0.07777818461967495,True
562.121945,Escherichia coli DETEC-S565,GCF_027944655.1,GCA_027944655.1,5203101,5203101.0,0.05701599872845059,True
573.53487,Klebsiella pneumoniae KP0177,GCF_027584985.1,GCA_027584985.1,5692516,5692516.0,0.06932207129501261,True
573.53485,Klebsiella pneumoniae NR0694,GCF_027584835.1,GCA_027584835.1,5722891,5722891.0,0.056912319315534754,True
584.2451,Proteus mirabilis 258-1e,GCF_028463455.1,GCA_028463455.1,3956730,3956730.0,0.17039525062362101,True
1134687.747,Klebsiella michiganensis 2022CK-00496,GCF_027577885.1,GCA_027577885.1,6367456,6367456.0,0.06834927481242116,True
1444.17,Bacillus thuringiensis serovar tenebrionis NB-176,GCF_027627765.1,GCA_027627765.1,6090597,6090597.0,0.12334324533374971,True
158836.2097,Enterobacter hormaechei 2020CK-00203,GCF_027886505.1,GCA_027886505.1,5139865,5139865.0,0.07825069335478656,True
287.28402,Pseudomonas aeruginosa PaLo500,GCF_027855815.1,GCA_027855815.1,6796517,6796517.0,0.46608211235254765,True
546.1622,Citrobacter freundii 2022CK-00369,GCF_023756145.1,GCA_023756145.2,5818666,5818666.0,0.1466504521826824,True
573.53575,Klebsiella pneumoniae CRKP_36,GCF_028220175.1,GCA_028220175.1,5985371,5985371.0,0.09827811843242466,True
573.53468,Klebsiella pneumoniae NR2074,GCF_027584415.1,GCA_027584415.1,5724953,5724953.0,0.06781505455153955,True
159.413,Brachyspira hyodysenteriae Bhyo_204,GCF_027586855.1,GCA_027586855.1,3122276,3122276.0,0.4925336517335431,True
573.53579,Klebsiella pneumoniae CRKP_41,GCF_028219935.1,GCA_028219935.1,6045520,6045520.0,0.10257612248408739,True
28026.1541,Bifidobacterium pseudocatenulatum BSD2780061689st1_E11_BSD2780061689_150309,GCF_028311605.1,GCA_028311605.1,2228306,2228306.0,0.23988805846234762,True
287.28396,Pseudomonas aeruginosa PaLo514,GCF_027855735.1,GCA_027855735.1,6667402,6667402.0,0.4186015782459195,True
2929500.4,Muricauda sp. SP22,GCF_028464265.1,GCA_028464265.1,3705613,3705613.0,0.1325343472186653,True
573.5364,,GCF_028554825.1,,6023682,,0.07557155241594758,False
881268.6,Herbiconiux flava VKM Ac-2058,GCF_027922025.1,GCA_027922025.1,3840319,3840319.0,0.0028666889391219842,True
1280.45023,Staphylococcus aureus BZ-26,GCF_027944125.1,GCA_027944125.1,2673942,2673942.0,0.4592579046217158,True
1681.1234,Bifidobacterium bifidum F3_hBSD2780061687b_210117,GCF_028202435.1,GCA_028202435.1,2166341,2166341.0,0.40567528380804313,True
28025.271,Bifidobacterium animalis AM04S-57,GCF_027662985.1,GCA_027662985.1,2000609,2000609.0,0.39006272589996344,True
287.28411,Pseudomonas aeruginosa PaLo23,GCF_027856055.1,GCA_027856055.1,7267925,7267925.0,0.4411717237038082,True
573.53481,Klebsiella pneumoniae NR5466,GCF_027584645.1,GCA_027584645.1,5830809,5830809.0,0.09774715652665007,True
565034.12,Brachyspira hyodysenteriae WA1 strain WA1; ATCC 49526,GCF_000022105.1,GCA_000022105.1,3036634,35940.0,0.011835473092904841,True
565040.11,Bifidobacterium longum subsp. infantis 157F,GCF_000196575.1,GCA_000196575.1,2408831,4895.0,0.0021296637248524285,True
573.15863,Klebsiella pneumoniae strain ATCC BAA-2146,GCF_000364385.3,GCA_000364385.3,5781501,140825.0,0.028278469553148913,True
573.16196,Klebsiella pneumoniae strain DHQP1605752_NV,GCF_002211905.1,GCA_002211905.1,5816577,187721.0,0.036016887595573824,True
573.16365,Klebsiella pneumoniae strain Kp52.145,GCF_000968155.1,GCA_000968155.1,5655684,121703.0,0.027900427251593266,True
573065.19,Asticcacaulis excentricus CB 48 strain CS 48,GCF_000175215.2,GCA_000175215.2,4308776,244260.0,0.0587429005360223,True
57743.174,Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462388,GCF_001409135.1,GCA_001409135.1,5161692,98756.0,0.025140012228548312,True
57743.175,Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462413,GCF_001409195.1,GCA_001409195.1,5228621,98776.0,0.024307747683375788,True
57743.178,Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5712384,GCF_001409155.1,GCA_001409155.1,4957530,82119.0,0.022375658846239963,True
57743.176,Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5712385,GCF_001409175.1,GCA_001409175.1,5099111,84987.0,0.016667022937919964,True
58121.5,Planotetraspora mira JCM 9131,GCF_042675365.1,,9094250,29158.0,0.000975671440745526,False
585054.21,Escherichia fergusonii ATCC 35469 strain type strain: ATCC 35469 strain ATCC 35469T,GCF_000026225.1,GCA_000026225.1,4643861,55150.0,0.013220679947138814,True
588.36,Providencia stuartii strain ATCC 33672,GCF_000754345.1,GCA_000754345.1,4334817,48866.0,0.011272909559965277,True
592010.4,Abiotrophia defectiva ATCC 49176,GCF_037041345.1,GCA_000160075.2,2045142,3479204.0,0.006971154081232501,False
592021.3,,GCF_000022865.1,,5503926,,0.03339034718126661,False
592026.3,Catonella morbi ATCC 51271,GCF_000160035.2,GCA_000160035.2,3479204,2043439.0,0.0027279228237263465,True
592027.6,Clostridium botulinum D str. 1873,GCF_000175395.3,GCA_000175395.2,2399201,107690.0,0.05210984823697556,True
595495.29,Escherichia coli KO11FL,GCF_000258025.1,GCA_000258025.1,5027172,5360.0,0.001066205811139941,True
615.2579,Serratia marcescens K700,GCF_028485935.1,GCA_028485935.1,5088434,5088434.0,0.4927291972343554,True
624.441,Shigella sonnei strain 144371,GCF_001256795.1,GCA_001256795.1,4759497,630197.0,0.14906848349731075,True
624.385,Shigella sonnei strain 144374,GCF_001255495.1,GCA_001255495.1,4764613,306668.0,0.07473156791537948,True
626935.49,Collinsella tanakaei AF21-11LB,GCF_027684525.1,GCA_027684525.1,2494567,2494567.0,0.4606434703898512,True
634500.12,Erwinia billingiae Eb661,GCF_000196615.1,GCA_000196615.1,5372268,169778.0,0.03273757005421174,True
63737.33,Nostoc punctiforme PCC 73102 strain ATCC 29133; PCC 73102,GCF_000020025.1,GCA_000020025.1,9059191,354564.0,0.05493183662867909,True
637913.5,Helicobacter pylori v225d,GCF_000093185.1,GCA_000093185.1,1595604,7326.0,0.004591364774718539,True
