#name,species,division,taxonomy_id,assembly,assembly_accession,genebuild,variation,microarray,pan_compara,peptide_compara,genome_alignments,other_alignments,core_db,species_id,#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,fasta_filename,downloaded_filename
kluyveromyces_marxianus_dmku3_1042_gca_001417885,EnsemblFungi,1003335,Kmar_1.0,GCA_001417885.1,2016-12-YamaguchiUniversity,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,116,,GCF_001417885.1,PRJNA264644,SAMD00067077,na,reference genome,1003335,4911,Kluyveromyces marxianus DMKU3-1042,strain=DMKU3-1042,na,latest,Complete Genome,Major,Full,2014-01-14,Kmar_1.0,Yamaguchi University,GCA_001417885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0,na,na,na,haploid,fungi,10920159,10920159,40.0,8,8,8,Yamaguchi University,Annotation submitted by Yamaguchi University,2024-12-04,5151,4941,210,25834639,Kluyveromyces_marxianus_dmku3_1042_gca_001417885.Kmar_1.0.dna.toplevel.fa,GCF_001417885.1_Kmar_1.0_genomic.fna.gz
trichoderma_asperellum_gca_013423425,EnsemblFungi,101201,Tasp_IC-1_01,GCA_013423425.1,2020-07-Chubuuniversity,N,N,N,N,N,Y,fungi_ascomycota5_collection_core_61_114_1,230,,GCF_020647865.1,PRJNA1128265,SAMN17838724,na,reference genome,101201,101201,Trichoderma asperellum,strain=FT101,na,latest,Complete Genome,Major,Full,2021-10-27,ASM2064786v1,Academia Sinica,GCA_020647865.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/647/865/GCF_020647865.1_ASM2064786v1,na,na,na,haploid,fungi,37545380,37545380,47.0,7,7,7,Academia Sinica,Annotation submitted by Academia Sinica,2024-06-26,12041,11857,184,34908505,Trichoderma_asperellum_gca_013423425.Tasp_IC-1_01.dna.toplevel.fa,GCF_020647865.1_ASM2064786v1_genomic.fna.gz
fusarium_pseudograminearum,EnsemblFungi,1028729,FP7,GCA_000303195.1,2014-03-CSIRO,N,N,N,Y,N,Y,fusarium_pseudograminearum_core_61_114_1,1,,GCF_000303195.2,PRJNA242845,SAMN02981337,AFNW00000000.1,reference genome,1028729,101028,Fusarium pseudograminearum CS3096,strain=CS3096,na,latest,Chromosome,Major,Full,2015-04-15,FP7,CSIRO,GCA_000303195.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/303/195/GCF_000303195.2_FP7,na,na,na,haploid,fungi,36863345,36825645,48.0,4,279,656,CSIRO,Annotation submitted by CSIRO,2024-01-17,12445,12445,0,23028337,,GCF_000303195.2_FP7_genomic.fna.gz
aspergillus_versicolor_cbs_583_65_gca_001890125,EnsemblFungi,1036611,Aspve1,GCA_001890125.1,2016-12-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,208,,GCF_001890125.1,PRJNA721993,SAMN02744095,MRBN00000000.1,reference genome,1036611,46472,Aspergillus versicolor CBS 583.65,strain=CBS 583.65,na,latest,Scaffold,Major,Full,2016-12-06,Aspve1,DOE Joint Genome Institute,GCA_001890125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/125/GCF_001890125.1_Aspve1,na,assembly designated as neotype,na,haploid,fungi,33126810,33121003,50.0,0,51,129,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2025-02-21,13361,13219,141,na,Aspergillus_versicolor_cbs_583_65_gca_001890125.Aspve1.dna.toplevel.fa,GCF_001890125.1_Aspve1_genomic.fna.gz
aspergillus_sydowii_cbs_593_65_gca_001890705,EnsemblFungi,1036612,Aspsy1,GCA_001890705.1,2016-12-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota3_collection_core_61_114_1,258,,GCF_001890705.1,PRJNA721994,SAMN02744090,MRCH00000000.1,reference genome,1036612,75750,Aspergillus sydowii CBS 593.65,strain=CBS 593.65,na,latest,Scaffold,Major,Full,2016-12-08,Aspsy1,DOE Joint Genome Institute,GCA_001890705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/705/GCF_001890705.1_Aspsy1,na,assembly designated as neotype,na,haploid,fungi,34381026,34349148,50.0,0,97,1181,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2025-02-21,13716,13578,137,na,Aspergillus_sydowii_cbs_593_65_gca_001890705.Aspsy1.dna.toplevel.fa,GCF_001890705.1_Aspsy1_genomic.fna.gz
tilletiaria_anomala_ubc_951_gca_000711695,EnsemblFungi,1037660,Tilletiaria anomala UBC 951 v1.0,GCA_000711695.1,2014-05-DOEJointGenomeInstitute,N,N,N,Y,N,Y,fungi_basidiomycota1_collection_core_61_114_1,60,,GCF_000711695.1,PRJNA292597,SAMN00794506,JMSN00000000.1,reference genome,1037660,5281,Tilletiaria anomala UBC 951,strain=UBC 951,na,latest,Contig,Major,Full,2014-05-23,Tilletiaria anomala UBC 951 v1.0,DOE Joint Genome Institute,GCA_000711695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/695/GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0,na,assembly from type material,na,haploid,fungi,18704010,18704010,56.0,0,289,289,NCBI RefSeq,Annotation submitted by NCBI RefSeq,2015-08-12,6869,6805,63,24926052,Tilletiaria_anomala_ubc_951_gca_000711695.Tilletiaria_anomala_UBC_951_v1.0.dna.toplevel.fa,GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0_genomic.fna.gz
wickerhamomyces_ciferrii_gca_000313485,EnsemblFungi,1041607,ASM31348v1,GCA_000313485.1,2012-12-CenterforBiotechnology,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,99,,GCF_000313485.1,PRJNA248426,SAMEA2272793,CAIF00000000.1,reference genome,1041607,1041607,Wickerhamomyces ciferrii,strain=NRRL Y-1031 F-60-10,na,latest,Contig,Major,Full,2012-09-21,ASM31348v1,Center for Biotechnology,GCA_000313485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/485/GCF_000313485.1_ASM31348v1,na,assembly from type material,na,haploid,fungi,15901152,15901152,30.5,0,364,364,Center for Biotechnology,Annotation submitted by Center for Biotechnology,2024-12-04,6702,6702,0,na,Wickerhamomyces_ciferrii_gca_000313485.ASM31348v1.dna.toplevel.fa,GCF_000313485.1_ASM31348v1_genomic.fna.gz
aureobasidium_pullulans_exf_150_gca_000721785,EnsemblFungi,1043002,"Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0",GCA_000721785.1,2014-07-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota1_collection_core_61_114_1,202,,GCF_000721785.1,PRJNA554128,SAMN02744100,AYEO00000000.1,reference genome,1043002,5580,Aureobasidium pullulans EXF-150,strain=EXF-150,na,latest,Scaffold,Major,Full,2014-07-08,"Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0",DOE Joint Genome Institute,GCA_000721785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/785/GCF_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0,na,na,na,haploid,fungi,29621078,29585801,50.0,0,186,209,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2019-07-12,11844,11844,0,24984952,Aureobasidium_pullulans_exf_150_gca_000721785.Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0.dna.toplevel.fa,GCA_000721785.1_genomic.fna.gz
aureobasidium_melanogenum_cbs_110374_gca_000721775,EnsemblFungi,1043003,Aureobasidium pullulans var. melanogenum CBS 110374 v1.0,GCA_000721775.1,2014-07-DOEJointGenomeInstitute,N,N,N,Y,N,Y,fungi_ascomycota1_collection_core_61_114_1,195,,GCF_000721775.1,PRJNA721987,SAMN02744098,AYEN00000000.1,reference genome,1043003,46634,Aureobasidium melanogenum CBS 110374,strain=CBS 110374,na,latest,Scaffold,Major,Full,2014-07-08,Aureobasidium pullulans var. melanogenum CBS 110374 v1.0,DOE Joint Genome Institute,GCA_000721775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/775/GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0,na,na,na,haploid,fungi,26203324,26199752,50.0,0,150,174,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2021-04-21,10582,10582,0,24984952,Aureobasidium_melanogenum_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.dna.toplevel.fa,GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0_genomic.fna.gz
aureobasidium_namibiae_cbs_147_97_gca_000721765,EnsemblFungi,1043004,Aureobasidium pullulans var. namibiae CBS 147.97 v1.0,GCA_000721765.1,2015-08-DOEJointGenomeInstitute,N,N,N,N,N,Y,fungi_ascomycota1_collection_core_61_114_1,234,,GCF_000721765.1,PRJNA292600,SAMN02744099,AYEM00000000.1,reference genome,1043004,559561,Aureobasidium namibiae CBS 147.97,strain=CBS 147.97,na,latest,Scaffold,Major,Full,2014-07-08,Aureobasidium pullulans var. namibiae CBS 147.97 v1.0,DOE Joint Genome Institute,GCA_000721765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/765/GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0,na,assembly from type material,na,haploid,fungi,25428601,25427801,51.0,0,47,55,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2024-01-05,10259,10259,0,24984952,Aureobasidium_namibiae_cbs_147_97_gca_000721765.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.dna.toplevel.fa,GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0_genomic.fna.gz
