col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
160,1005057,Ua,1005057.4,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/465/GCF_000225465.1_ASM22546v1,3,1005057.4.fna,GCF_000225465.1_ASM22546v1_genomic.fna,  627953,  627953,1005057.4.fna_vs_GCF_000225465.1_ASM22546v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,627953,0,0,0,0,0,0,1005057_subject_array_1738942859.bin
506,101571,MSMB0783,101571.258,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/695/GCF_001718695.1_ASM171869v1,3,101571.258.fna,GCF_001718695.1_ASM171869v1_genomic.fna, 6684845, 6684845,101571.258.fna_vs_GCF_001718695.1_ASM171869v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6684845,0,0,0,0,0,0,101571_subject_array_1738942861.bin
549,101571,MSMB1189WGS,101571.259,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/855/GCF_001718855.1_ASM171885v1,3,101571.259.fna,GCF_001718855.1_ASM171885v1_genomic.fna, 8028759, 8028759,101571.259.fna_vs_GCF_001718855.1_ASM171885v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8028759,0,0,0,0,0,0,101571_subject_array_1738942864.bin
657,101571,MSMB2035,101571.257,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/655/GCF_001718655.1_ASM171865v1,3,101571.257.fna,GCF_001718655.1_ASM171865v1_genomic.fna, 7235060, 7235060,101571.257.fna_vs_GCF_001718655.1_ASM171865v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7235060,0,0,0,0,0,0,101571_subject_array_1738942867.bin
880,1028752,PN3F2,1028752.3,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/765/625/GCF_011765625.1_ASM1176562v1,3,1028752.3.fna,GCF_011765625.1_ASM1176562v1_genomic.fna, 4472858, 4472858,1028752.3.fna_vs_GCF_011765625.1_ASM1176562v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4472858,0,0,0,0,0,0,1028752_subject_array_1738942869.bin
883,1028801,HAMBI 1141,1028801.3,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/295/GCF_000731295.1_RG1141_Ch_pA_pB,3,1028801.3.fna,GCF_000731295.1_RG1141_Ch_pA_pB_genomic.fna, 6413184, 6413184,1028801.3.fna_vs_GCF_000731295.1_RG1141_Ch_pA_pB_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6413184,0,0,0,0,0,0,1028801_subject_array_1738942871.bin
955,1031710,OM4,1031710.4,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/585/GCF_000218585.1_ASM21858v1,3,1031710.4.fna,GCF_000218585.1_ASM21858v1_genomic.fna, 3839771, 3839771,1031710.4.fna_vs_GCF_000218585.1_ASM21858v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,3839771,0,0,0,0,0,0,1031710_subject_array_1738942872.bin
1031,1035,NCTC12722,1035.4,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/145/GCF_900445145.1_57800_E01,3,1035.4.fna,GCF_900445145.1_57800_E01_genomic.fna, 4215999, 4215999,1035.4.fna_vs_GCF_900445145.1_57800_E01_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4215999,0,0,0,0,0,0,1035_subject_array_1738942874.bin
1043,1035377,A1122,1035377.9,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/755/GCF_000834755.1_ASM83475v1,3,1035377.9.fna,GCF_000834755.1_ASM83475v1_genomic.fna, 4674565, 4674565,1035377.9.fna_vs_GCF_000834755.1_ASM83475v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4674565,0,0,0,0,0,0,1035377_subject_array_1738942876.bin
1045,1035817,KACC 91563,1035817.4,3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/455/GCF_000219455.1_ASM21945v1,3,1035817.4.fna,GCF_000219455.1_ASM21945v1_genomic.fna, 2395764, 2395764,1035817.4.fna_vs_GCF_000219455.1_ASM21945v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2395764,0,0,0,0,0,0,1035817_subject_array_1738942877.bin
