col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
82,100177,PotiB2,100177.28,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/440/365/GCF_030440365.1_ASM3044036v1,4,100177.28.fna,GCF_030440365.1_ASM3044036v1_genomic.fna, 1025544, 1025544,100177.28.fna_vs_GCF_030440365.1_ASM3044036v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1025544,0,0,0,0,0,0,100177_subject_array_1739418452.bin
456,101510,RHA1,101510.16,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/565/GCF_000014565.1_ASM1456v1,4,101510.16.fna,GCF_000014565.1_ASM1456v1_genomic.fna, 9702737, 9702737,101510.16.fna_vs_GCF_000014565.1_ASM1456v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,9702737,0,0,0,0,0,0,101510_subject_array_1739418455.bin
573,101571,MSMB1471WGS,101571.260,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/975/GCF_001718975.1_ASM171897v1,4,101571.260.fna,GCF_001718975.1_ASM171897v1_genomic.fna, 7463411, 7463411,101571.260.fna_vs_GCF_001718975.1_ASM171897v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7463411,0,0,0,0,0,0,101571_subject_array_1739418459.bin
749,101571,RF23-BP41,101571.256,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/355/GCF_001718355.1_ASM171835v1,4,101571.256.fna,GCF_001718355.1_ASM171835v1_genomic.fna, 7961598, 7961598,101571.256.fna_vs_GCF_001718355.1_ASM171835v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7961598,0,0,0,0,0,0,101571_subject_array_1739418462.bin
798,102,ATCC 43844,102.4,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/665/GCF_002954665.1_ASM295466v1,4,102.4.fna,GCF_002954665.1_ASM295466v1_genomic.fna, 4064562, 4064562,102.4.fna_vs_GCF_002954665.1_ASM295466v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,62844,4001718,0,0,0,0,0,0,102_subject_array_1739418464.bin
799,102119,C9,102119.3,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/984/075/GCF_022984075.1_ASM2298407v1,4,102119.3.fna,GCF_022984075.1_ASM2298407v1_genomic.fna, 2958309, 2958309,102119.3.fna_vs_GCF_022984075.1_ASM2298407v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2958309,0,0,0,0,0,0,102119_subject_array_1739418466.bin
901,1029822,NIAS840,1029822.3,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/465/GCF_000215465.1_ASM21546v2,4,1029822.3.fna,GCF_000215465.1_ASM21546v2_genomic.fna, 2046557, 2046557,1029822.3.fna_vs_GCF_000215465.1_ASM21546v2_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2046556,0,0,1,0,0,0,1029822_subject_array_1739418466.bin
1215,103816,5Ap,103816.28,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/169/995/GCF_015169995.1_ASM1516999v1,4,103816.28.fna,GCF_015169995.1_ASM1516999v1_genomic.fna, 5922266, 5922266,103816.28.fna_vs_GCF_015169995.1_ASM1516999v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5922266,0,0,0,0,0,0,103816_subject_array_1739418469.bin
1232,103816,RL-GZ01,103816.69,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/760/325/GCF_024760325.1_ASM2476032v1,4,103816.69.fna,GCF_024760325.1_ASM2476032v1_genomic.fna, 5373217, 5373217,103816.69.fna_vs_GCF_024760325.1_ASM2476032v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5373217,0,0,0,0,0,0,103816_subject_array_1739418471.bin
1289,1038927,FWSEC0009,1038927.45,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/014/075/GCF_005014075.1_ASM501407v1,4,1038927.45.fna,GCF_005014075.1_ASM501407v1_genomic.fna, 5442997, 5442997,1038927.45.fna_vs_GCF_005014075.1_ASM501407v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5442997,0,0,0,0,0,0,1038927_subject_array_1739418473.bin
1360,1041138,R602,1418105.3,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/845/GCF_000816845.1_ASM81684v1,4,1418105.3.fna,GCF_000816845.1_ASM81684v1_genomic.fna, 7311190, 7311190,1418105.3.fna_vs_GCF_000816845.1_ASM81684v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,7311190,0,0,0,0,0,0,1418105_subject_array_1739418476.bin
1415,1042878,N-1,1042878.5,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/215/GCF_000219215.1_ASM21921v1,4,1042878.5.fna,GCF_000219215.1_ASM21921v1_genomic.fna, 8480857, 8480857,1042878.5.fna_vs_GCF_000219215.1_ASM21921v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8480857,0,0,0,0,0,0,1042878_subject_array_1739418480.bin
1485,104628,NHP19-4004,104628.52,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/374/195/GCF_013374195.1_ASM1337419v1,4,104628.52.fna,GCF_013374195.1_ASM1337419v1_genomic.fna, 1738770, 1738770,104628.52.fna_vs_GCF_013374195.1_ASM1337419v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1738770,0,0,0,0,0,0,104628_subject_array_1739418481.bin
1504,1046581,10-1398/6,1046581.3,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/454/725/GCF_000454725.1_ibidis.assembly,4,1046581.3.fna,GCF_000454725.1_ibidis.assembly_genomic.fna, 1146066, 1146066,1046581.3.fna_vs_GCF_000454725.1_ibidis.assembly_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1146066,0,0,0,0,0,0,1046581_subject_array_1739418482.bin
1523,1048205,NBC_01379,1048205.6,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/340/285/GCF_026340285.1_ASM2634028v1,4,1048205.6.fna,GCF_026340285.1_ASM2634028v1_genomic.fna, 9193344, 9193344,1048205.6.fna_vs_GCF_026340285.1_ASM2634028v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,9193344,0,0,0,0,0,0,1048205_subject_array_1739418497.bin
1698,105219,GML-Rals1-TR,105219.64,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/525/GCF_002863525.1_ASM286352v1,4,105219.64.fna,GCF_002863525.1_ASM286352v1_genomic.fna, 5084397, 5084397,105219.64.fna_vs_GCF_002863525.1_ASM286352v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5084397,0,0,0,0,0,0,105219_subject_array_1739418499.bin
1721,105219,URK03,105219.71,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/932/125/GCF_031932125.1_ASM3193212v1,4,105219.71.fna,GCF_031932125.1_ASM3193212v1_genomic.fna, 5310746, 5310746,105219.71.fna_vs_GCF_031932125.1_ASM3193212v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5310742,0,0,0,4,0,0,105219_subject_array_1739418501.bin
1903,1055538,RM9154-C1,1055538.13,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/623/225/GCF_014623225.1_ASM1462322v1,4,1055538.13.fna,GCF_014623225.1_ASM1462322v1_genomic.fna, 5576061, 5576061,1055538.13.fna_vs_GCF_014623225.1_ASM1462322v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5576061,0,0,0,0,0,0,1055538_subject_array_1739418504.bin
1908,1055541,RM10042,1055541.4,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/112/205/GCF_003112205.1_ASM311220v1,4,1055541.4.fna,GCF_003112205.1_ASM311220v1_genomic.fna, 5261709, 5261709,1055541.4.fna_vs_GCF_003112205.1_ASM311220v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5261709,0,0,0,0,0,0,1055541_subject_array_1739418506.bin
1944,1056816,BMG51109,1056816.3,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/215/GCF_000526215.1_ASM52621v1,4,1056816.3.fna,GCF_000526215.1_ASM52621v1_genomic.fna, 8787999, 8787999,1056816.3.fna_vs_GCF_000526215.1_ASM52621v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8787999,0,0,0,0,0,0,1056816_subject_array_1739418509.bin
2001,1063,AB24,1063.43,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/425/GCF_003846425.1_ASM384642v1,4,1063.43.fna,GCF_003846425.1_ASM384642v1_genomic.fna, 4745448, 4745448,1063.43.fna_vs_GCF_003846425.1_ASM384642v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,9303,4736132,0,0,13,0,0,0,1063_subject_array_1739418512.bin
2002,1063,AB25,1063.40,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/365/GCF_003846365.1_ASM384636v1,4,1063.40.fna,GCF_003846365.1_ASM384636v1_genomic.fna, 4588717, 4588717,1063.40.fna_vs_GCF_003846365.1_ASM384636v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,5485,4583225,0,0,0,7,0,0,1063_subject_array_1739418513.bin
2003,1063,AB27,1063.41,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/385/GCF_003846385.1_ASM384638v1,4,1063.41.fna,GCF_003846385.1_ASM384638v1_genomic.fna, 4405687, 4405687,1063.41.fna_vs_GCF_003846385.1_ASM384638v1_genomic.fna_blast.xml,0,0,0,0,0,0,1,11752,4393928,0,0,2,4,0,0,1063_subject_array_1739418515.bin
2004,1063,AB29,1063.42,4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/405/GCF_003846405.1_ASM384640v1,4,1063.42.fna,GCF_003846405.1_ASM384640v1_genomic.fna, 4547232, 4547232,1063.42.fna_vs_GCF_003846405.1_ASM384640v1_genomic.fna_blast.xml,0,0,0,0,0,0,1,13064,4534160,0,0,2,5,0,0,1063_subject_array_1739418517.bin
