Index	Sequence ID	Virus Tax ID	FTP Path
1	AB007990	2080107	N/A
2	AB024414	36353	N/A
3	AB027020	37121	N/A
4	AB027021	129724	N/A
5	AB032553	59303	N/A
6	AB036666	N/A	N/A
7	AB042808	99565	N/A
8	AB050936	129003	N/A
9	AB073912	63421	N/A
10	AB090161	204729	N/A
11	AB110218	66366	N/A
12	AB162141	263577	N/A
13	AB176642	106820	N/A
14	AB187514	290280	N/A
15	AB187566	11786	N/A
16	AB192965	503396	N/A
17	AB192966	503397	N/A
18	AB194796	300942	N/A
19	AB205396	42776	N/A
20	AB211993	325568	N/A
21	AB220921	336619	N/A
22	AB236321	434023	N/A
23	AB236325	435489	N/A
24	AB236326	434070	N/A
25	AB236327	434066	N/A
26	AB252582	411152	N/A
27	AB306314	446318	N/A
28	AB306522	446569	N/A
29	AB331650	453460	N/A
30	AB331651	453461	N/A
31	AB361563	471358	N/A
32	AB365435	479952	N/A
33	AB426611	N/A	N/A
34	AB439841	537881	N/A
35	AB439842	537882	N/A
36	AB447427	546951	N/A
37	AB447428	546952	N/A
38	AB447429	546953	N/A
39	AB447430	546954	N/A
40	AB447431	546955	N/A
41	AB447432	546956	N/A
42	AB447433	546957	N/A
43	AB447434	546958	N/A
44	AB447435	546959	N/A
45	AB447436	546960	N/A
46	AB447437	546961	N/A
47	AB447438	546962	N/A
48	AB447439	546963	N/A
49	AB447440	546964	N/A
50	AB447441	546965	N/A
51	AB447442	546966	N/A
52	AB447443	546967	N/A
53	AB447444	546968	N/A
54	AB447445	546969	N/A
55	AB447446	546970	N/A
56	AB447447	546971	N/A
57	AB447448	546972	N/A
58	AB447449	546973	N/A
59	AB447450	546974	N/A
60	AB447451	546975	N/A
61	AB447452	546976	N/A
62	AB447453	546977	N/A
63	AB447454	546978	N/A
64	AB447455	546979	N/A
65	AB447456	546980	N/A
66	AB447457	546981	N/A
67	AB447458	546982	N/A
68	AB447459	546983	N/A
69	AB447460	546984	N/A
70	AB447461	546985	N/A
71	AB447462	546986	N/A
72	AB447463	546987	N/A
73	AB448767	31545	N/A
74	AB516393	2847141	N/A
75	AB540582	N/A	N/A
76	AB540583	N/A	N/A
77	AB541201	707384	N/A
78	AB541202	707385	N/A
79	AB541203	707386	N/A
80	AB541204	707387	N/A
81	AB541205	707388	N/A
82	AB543507	714200	N/A
83	AB543808	714567	N/A
84	AB554014	N/A	N/A
85	AB554015	N/A	N/A
86	AB554016	N/A	N/A
87	AB554018	N/A	N/A
88	AB554019	N/A	N/A
89	AB554020	N/A	N/A
90	AB554021	N/A	N/A
91	AB554023	N/A	N/A
92	AB554024	N/A	N/A
93	AB554025	N/A	N/A
94	AB558119	758865	N/A
95	AB560661	N/A	N/A
96	AB560662	N/A	N/A
97	AB593690	509628	N/A
98	AB611707	980635	N/A
99	AB614356	985691	N/A
100	AB626963	1010615	N/A
101	AB644281	N/A	N/A
102	AB644282	1052603	N/A
103	AB644283	N/A	N/A
104	AB644284	N/A	N/A
105	AB644285	1052604	N/A
106	AB644286	N/A	N/A
107	AB644287	N/A	N/A
108	AB678778	86107	N/A
109	AB690461	31649	N/A
110	AB724351	28275	N/A
111	AB746912	1230469	N/A
112	AB757801	1244857	N/A
113	AB765926	1972755	N/A
114	AB793779	1297549	N/A
115	AB795432	31653	N/A
116	AB819611	N/A	N/A
117	AB819612	N/A	N/A
118	AB819613	N/A	N/A
119	AB819614	N/A	N/A
120	AB819615	N/A	N/A
121	AB819616	N/A	N/A
122	AB819617	N/A	N/A
123	AB819618	N/A	N/A
124	AB823818	3378811	N/A
125	AB910392	1462581	N/A
126	AB921568	1484007	N/A
127	AB937980	1506566	N/A
128	AB937981	1506567	N/A
129	AB937983	1506569	N/A
130	AB937984	1506570	N/A
131	AB937985	1506571	N/A
132	AB937986	1506572	N/A
133	AB937987	1506573	N/A
134	AB981170	1530086	N/A
135	AB981580	N/A	N/A
136	AB981581	N/A	N/A
137	AB981582	N/A	N/A
138	AB981583	N/A	N/A
139	AC_000001	114424	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/895/GCF_000885895.1_ViralProj40309
140	AC_000002	129950	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/255/GCF_000885255.1_ViralProj40311
141	AC_000003	10512	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/845/GCF_000857845.1_ViralProj15101
142	AC_000004	130328	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/775/GCF_000886775.1_ViralProj40313
143	AC_000005	N/A	N/A
144	AC_000006	130310	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/625/GCF_000858625.1_ViralProj15105
145	AC_000007	10515	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/465/GCF_000859465.1_ViralProj15106
146	AC_000008	28285	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/865/GCF_000857865.1_ViralProj15107
147	AC_000009	3241440	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/915/GCF_000885915.1_ViralProj40317
148	AC_000010	198503	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/245/GCF_000847245.1_ViralProj14607
149	AC_000011	175567	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/905/GCF_000848905.1_ViralProj14608
150	AC_000012	N/A	N/A
151	AC_000013	N/A	N/A
152	AC_000014	N/A	N/A
153	AC_000016	298333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/905/GCF_000856905.1_ViralProj15112
154	AC_000017	10533	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/645/GCF_000858645.1_ViralProj15113
155	AC_000018	10519	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/485/GCF_000859485.1_ViralProj15114
156	AC_000019	10522	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/885/GCF_000857885.1_ViralProj15115
157	AC_000020	10514	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/885/GCF_000856885.1_ViralProj15102
158	AC_000189	N/A	N/A
159	AC_000190	N/A	N/A
160	AC_000191	129953	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/265/GCF_000847265.1_ViralProj14612
161	AC_000192	11144	N/A
162	AF002227	60869	N/A
163	AF020905	66261	N/A
164	AF028704	68558	N/A
165	AF028705	68742	N/A
166	AF033809	11868	N/A
167	AF036092	70333	N/A
168	AF039205	74561	N/A
169	AF040721	72705	N/A
170	AF046869	N/A	N/A
171	AF053745	75986	N/A
172	AF057136	81832	N/A
173	AF059243	75725	N/A
174	AF063866	2083191	N/A
175	AF070476	2849774	N/A
176	AF079457	79899	N/A
177	AF081485	82639	N/A
178	AF083069	40280	N/A
179	AF083501	83534	N/A
180	AF083975	172864	N/A
181	AF086833	128952	N/A
182	AF091605	82470	N/A
183	AF091736	82664	N/A
184	AF092932	31552	N/A
185	AF093797	11983	N/A
186	AF103734	84272	N/A
187	AF105975	270153	N/A
188	AF108105	46922	N/A
189	AF109397	85542	N/A
190	AF109398	85543	N/A
191	AF109399	85544	N/A
192	AF112352	N/A	N/A
193	AF112353	N/A	N/A
194	AF112862	85709	N/A
195	AF117753	86385	N/A
196	AF118150	1891747	N/A
197	AF123432	106607	N/A
198	AF123433	106608	N/A
199	AF126467	N/A	N/A
200	AF133051	64462	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/665/GCF_002829665.1_ASM282966v1
201	AF133052	64461	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/829/685/GCF_002829685.1_ASM282968v1
202	AF141897	N/A	N/A
203	AF141922	N/A	N/A
204	AF145896	94433	N/A
205	AF151983	333772	N/A
206	AF162711	N/A	N/A
207	AF173555	N/A	N/A
208	AF173556	N/A	N/A
209	AF184148	41862	N/A
210	AF184149	110139	N/A
211	AF193863	113194	N/A
212	AF201902	2849477	N/A
213	AF201929	76344	N/A
214	AF221065	114654	N/A
215	AF227250	12021	N/A
216	AF230973	123738	N/A
217	AF241359	200154	N/A
218	AF241479	221523	N/A
219	AF260508	43358	N/A
220	AF274010	12116	N/A
221	AF274751	10844	N/A
222	AF291705	N/A	N/A
223	AF291706	N/A	N/A
224	AF293960	150546	N/A
225	AF309418	139270	N/A
226	AF311056	58535	N/A
227	AF311938	N/A	N/A
228	AF311939	N/A	N/A
229	AF316321	150846	N/A
230	AF323671	151538	N/A
231	AF323672	151534	N/A
232	AF323673	151539	N/A
233	AF326963	149596	N/A
234	AF327920	1001061	N/A
235	AF327921	172316	N/A
236	AF327922	172317	N/A
237	AF329886	268330	N/A
238	AF329888	268331	N/A
239	AF329889	268343	N/A
240	AF334030	10468	N/A
241	AF338106	11168	N/A
242	AF349909	171370	N/A
243	AF352027	156647	N/A
244	AF361253	168014	N/A
245	AF379637	268961	N/A
246	AF380138	619591	N/A
247	AF389115	N/A	N/A
248	AF389116	N/A	N/A
249	AF389117	N/A	N/A
250	AF389118	N/A	N/A
251	AF389119	N/A	N/A
252	AF389120	N/A	N/A
253	AF389121	N/A	N/A
254	AF389122	N/A	N/A
255	AF389451	160691	N/A
256	AF389452	N/A	N/A
257	AF389453	N/A	N/A
258	AF389454	N/A	N/A
259	AF389455	N/A	N/A
260	AF389456	N/A	N/A
261	AF389457	N/A	N/A
262	AF389458	N/A	N/A
263	AF389459	N/A	N/A
264	AF389460	N/A	N/A
265	AF389461	N/A	N/A
266	AF389462	N/A	N/A
267	AF389463	N/A	N/A
268	AF389464	N/A	N/A
269	AF389465	N/A	N/A
270	AF389466	N/A	N/A
271	AF389467	N/A	N/A
272	AF389468	N/A	N/A
273	AF389469	N/A	N/A
274	AF389470	N/A	N/A
275	AF389471	N/A	N/A
276	AF407339	170646	N/A
277	AF411814	188539	N/A
278	AF416741	N/A	N/A
279	AF416742	N/A	N/A
280	AF428255	220934	N/A
281	AF451898	3116536	N/A
282	AF457102	188538	N/A
283	AF490004	N/A	N/A
