##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000839185.1	PRJNA485481	na	na	na	10243	10243	Cowpox virus	strain=Brighton Red	na	latest	Complete Genome	Major	Full	2003-05-19	ViralProj14174	Molecular Genetics and Microbiology, Duke University Medical Center	GCA_000839185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/185/GCF_000839185.1_ViralProj14174	na	ICTV species exemplar	na	haploid	viral	224499	224499	33.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	233	233	0	6961398;8091665;2014645;2309453
GCF_000857045.1	PRJNA485481	na	na	na	10244	10244	Monkeypox virus	strain=Zaire-96-I-16	na	latest	Complete Genome	Major	Full	2001-12-21	ViralProj15142	Department of Molecular Biology of Genomes, SRC VB Vector	GCA_000857045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/045/GCF_000857045.1_ViralProj15142	na	ICTV species exemplar	na	haploid	viral	196858	196858	33.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2022-07-08	180	180	0	11734207;30660046;34253028
GCF_014621545.1	PRJNA485481	na	na	na	10244	10244	Monkeypox virus	na	MPXV-M5312_HM12_Rivers	latest	Complete Genome	Major	Full	2022-05-30	ASM1462154v1	NCEZID/DHCPP/PRB, CDC	GCA_014621545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/621/545/GCF_014621545.1_ASM1462154v1	na	na	na	haploid	viral	197209	197209	33.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2022-05-30	179	179	0	30660046;34253028;32880628
GCF_000860085.1	PRJNA485481	na	na	na	10245	10245	Vaccinia virus	strain=WR (Western Reserve)	na	latest	Complete Genome	Major	Full	2005-05-19	ViralProj15241	National Center for Infectious Diseases, Centers for Disease Control and Prevention	GCA_000860085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/085/GCF_000860085.1_ViralProj15241	na	ICTV species exemplar	na	haploid	viral	194711	194711	33.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	223	223	0	na
GCF_000859885.1	PRJNA485481	na	na	na	10255	10255	Variola virus	strain=India-1967, ssp. major	Ind3	latest	Complete Genome	Major	Full	2000-08-01	ViralProj15197	NCBI	GCA_000859885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/885/GCF_000859885.1_ViralProj15197	na	ICTV species exemplar	na	haploid	viral	185578	185578	32.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	197	197	0	7597802;7856312;8725113
GCF_001029045.1	PRJNA485481	na	na	na	10256	10256	Raccoonpox virus	strain=Herman	na	latest	Complete Genome	Major	Full	2015-06-15	ViralProj287042	Biochemistry and Microbiology, University of Victoria	GCA_001029045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/045/GCF_001029045.1_ViralProj287042	na	ICTV species exemplar	na	haploid	viral	214699	214699	32.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	208	207	0	26023150
GCF_000844845.1	PRJNA485481	na	na	na	10258	10258	Orf virus	strain=OV-SA00	ORFD	latest	Complete Genome	Major	Full	2004-01-21	ViralProj14464	African Swine Fever Research, Plum Island Animal Disease Center, U.S. Department of Agriculture, Agricultural Research Service	GCA_000844845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/844/845/GCF_000844845.1_ViralProj14464	na	ICTV species exemplar	na	haploid	viral	139962	139962	63.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	130	130	0	14671098
GCF_000838605.1	PRJNA485481	na	na	na	10261	10261	Fowlpox virus	na	na	latest	Complete Genome	Major	Full	2000-08-01	ViralProj14052	Microbiology, Plum Island Animal Disease Center, U.S. Dept. Agriculture, Agricultural Research Service	GCA_000838605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/838/605/GCF_000838605.1_ViralProj14052	na	ICTV species exemplar	na	haploid	viral	288539	288539	31.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	260	260	0	10729156
GCF_000922075.1	PRJNA485481	na	na	na	10264	10264	Pigeonpox virus	na	FeP2	latest	Complete Genome	Major	Full	2014-06-25	FeP2	Clinical Laboratory Sciences, Medical Virology, University of Cape Town	GCA_000922075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/922/075/GCF_000922075.1_FeP2	na	ICTV species exemplar	na	haploid	viral	282356	282356	29.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	271	224	0	24919868
GCF_000840205.1	PRJNA485481	na	na	na	10266	10266	Sheeppox virus	strain=TU-V02127	na	latest	Complete Genome	Major	Full	2002-06-14	ViralProj14196	African Swine Fever Research, Plum Island Animal Disease Center, U.S. Dept. Agriculture, Agricultural Research Service	GCA_000840205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/840/205/GCF_000840205.1_ViralProj14196	na	ICTV species exemplar	na	haploid	viral	149955	149955	25.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-07	148	148	0	12021338
