,division,assembly,bioproject,organism_name,infraspecific_name,#assembly_accession,genome_size,fasta_filename,downloaded_filename,query_length,subject_length,blast_output
,1003335,GCA_001417885.1,PRJNA264644,Kluyveromyces marxianus DMKU3-1042,strain=DMKU3-1042,GCF_001417885.1,10920159,Kluyveromyces_marxianus_dmku3_1042_gca_001417885.Kmar_1.0.dna.toplevel.fa,GCF_001417885.1_Kmar_1.0_genomic.fna.gz, 10966467, 10966467,Kluyveromyces_marxianus_dmku3_1042_gca_001417885.Kmar_1.0.dna.toplevel.fa_vs_GCF_001417885.1_Kmar_1.0_genomic.fna_blast.xml
,101201,GCA_013423425.1,PRJNA1128265,Trichoderma asperellum,strain=FT101,GCF_020647865.1,37545380,Trichoderma_asperellum_gca_013423425.Tasp_IC-1_01.dna.toplevel.fa,GCF_020647865.1_ASM2064786v1_genomic.fna.gz, 36071795, 37545380,Trichoderma_asperellum_gca_013423425.Tasp_IC-1_01.dna.toplevel.fa_vs_GCF_020647865.1_ASM2064786v1_genomic.fna_blast.xml
,1036611,GCA_001890125.1,PRJNA721993,Aspergillus versicolor CBS 583.65,strain=CBS 583.65,GCF_001890125.1,33126810,Aspergillus_versicolor_cbs_583_65_gca_001890125.Aspve1.dna.toplevel.fa,GCF_001890125.1_Aspve1_genomic.fna.gz, 33126810, 33126810,Aspergillus_versicolor_cbs_583_65_gca_001890125.Aspve1.dna.toplevel.fa_vs_GCF_001890125.1_Aspve1_genomic.fna_blast.xml
,1036612,GCA_001890705.1,PRJNA721994,Aspergillus sydowii CBS 593.65,strain=CBS 593.65,GCF_001890705.1,34381026,Aspergillus_sydowii_cbs_593_65_gca_001890705.Aspsy1.dna.toplevel.fa,GCF_001890705.1_Aspsy1_genomic.fna.gz, 34381026, 34381026,Aspergillus_sydowii_cbs_593_65_gca_001890705.Aspsy1.dna.toplevel.fa_vs_GCF_001890705.1_Aspsy1_genomic.fna_blast.xml
,1037660,GCA_000711695.1,PRJNA292597,Tilletiaria anomala UBC 951,strain=UBC 951,GCF_000711695.1,18704010,Tilletiaria_anomala_ubc_951_gca_000711695.Tilletiaria_anomala_UBC_951_v1.0.dna.toplevel.fa,GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0_genomic.fna.gz, 18704010, 18704010,Tilletiaria_anomala_ubc_951_gca_000711695.Tilletiaria_anomala_UBC_951_v1.0.dna.toplevel.fa_vs_GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0_genomic.fna_blast.xml
,1041607,GCA_000313485.1,PRJNA248426,Wickerhamomyces ciferrii,strain=NRRL Y-1031 F-60-10,GCF_000313485.1,15901152,Wickerhamomyces_ciferrii_gca_000313485.ASM31348v1.dna.toplevel.fa,GCF_000313485.1_ASM31348v1_genomic.fna.gz, 15901152, 15901152,Wickerhamomyces_ciferrii_gca_000313485.ASM31348v1.dna.toplevel.fa_vs_GCF_000313485.1_ASM31348v1_genomic.fna_blast.xml
,1043003,GCA_000721775.1,PRJNA721987,Aureobasidium melanogenum CBS 110374,strain=CBS 110374,GCF_000721775.1,26203324,Aureobasidium_melanogenum_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.dna.toplevel.fa,GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0_genomic.fna.gz, 26203324, 26203324,Aureobasidium_melanogenum_cbs_110374_gca_000721775.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.dna.toplevel.fa_vs_GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0_genomic.fna_blast.xml
,1043004,GCA_000721765.1,PRJNA292600,Aureobasidium namibiae CBS 147.97,strain=CBS 147.97,GCF_000721765.1,25428601,Aureobasidium_namibiae_cbs_147_97_gca_000721765.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.dna.toplevel.fa,GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0_genomic.fna.gz, 25428601, 25428601,Aureobasidium_namibiae_cbs_147_97_gca_000721765.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.dna.toplevel.fa_vs_GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0_genomic.fna_blast.xml
,1043005,GCA_000721755.1,PRJNA292599,Aureobasidium subglaciale EXF-2481,strain=EXF-2481,GCF_000721755.1,25796716,Aureobasidium_subglaciale_exf_2481_gca_000721755.Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0.dna.toplevel.fa,GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.fna.gz, 25796716, 25796716,Aureobasidium_subglaciale_exf_2481_gca_000721755.Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0.dna.toplevel.fa_vs_GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.fna_blast.xml
,105984,GCA_003942205.1,PRJNA531017,Apiotrichum porosum,strain=DSM 27194,GCF_003942205.1,25479456,Apiotrichum_porosum_gca_003942205.ASM394220v1.dna.toplevel.fa,GCF_003942205.1_ASM394220v1_genomic.fna.gz, 25479456, 25479456,Apiotrichum_porosum_gca_003942205.ASM394220v1.dna.toplevel.fa_vs_GCF_003942205.1_ASM394220v1_genomic.fna_blast.xml
