Index,Sequence ID,Virus Tax ID,FTP Path,RefSeq Filename,Query Length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
139,AC_000001,114424,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/895/GCF_000885895.1_ViralProj40309,GCF_000885895.1_ViralProj40309_genomic.fna,33034,33034,/Users/gboldirev1/Documents/refseq/139_AC_000001_blast.xml,0,0,0,0,0,0,0,0,33034,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/139_AC_000001_blast_subject_array_1748966450.bin
140,AC_000002,129950,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/255/GCF_000885255.1_ViralProj40311,GCF_000885255.1_ViralProj40311_genomic.fna,34446,34446,/Users/gboldirev1/Documents/refseq/140_AC_000002_blast.xml,0,0,0,0,0,0,0,0,34446,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/140_AC_000002_blast_subject_array_1748966450.bin
141,AC_000003,10512,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/845/GCF_000857845.1_ViralProj15101,GCF_000857845.1_ViralProj15101_genomic.fna,30536,30536,/Users/gboldirev1/Documents/refseq/141_AC_000003_blast.xml,0,0,0,0,0,0,0,0,30536,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/141_AC_000003_blast_subject_array_1748966450.bin
145,AC_000007,10515,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/465/GCF_000859465.1_ViralProj15106,GCF_000859465.1_ViralProj15106_genomic.fna,35937,35937,/Users/gboldirev1/Documents/refseq/145_AC_000007_blast.xml,0,0,0,0,0,0,0,0,35937,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/145_AC_000007_blast_subject_array_1748966450.bin
146,AC_000008,28285,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/865/GCF_000857865.1_ViralProj15107,GCF_000857865.1_ViralProj15107_genomic.fna,35938,35938,/Users/gboldirev1/Documents/refseq/146_AC_000008_blast.xml,0,0,0,0,0,0,0,0,35938,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/146_AC_000008_blast_subject_array_1748966450.bin
147,AC_000009,3241440,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/915/GCF_000885915.1_ViralProj40317,GCF_000885915.1_ViralProj40317_genomic.fna,32621,32621,/Users/gboldirev1/Documents/refseq/147_AC_000009_blast.xml,0,0,0,0,0,0,0,0,32621,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/147_AC_000009_blast_subject_array_1748966450.bin
148,AC_000010,198503,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/245/GCF_000847245.1_ViralProj14607,GCF_000847245.1_ViralProj14607_genomic.fna,35524,35524,/Users/gboldirev1/Documents/refseq/148_AC_000010_blast.xml,0,0,0,0,0,0,0,0,35524,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/148_AC_000010_blast_subject_array_1748966450.bin
149,AC_000011,175567,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/905/GCF_000848905.1_ViralProj14608,GCF_000848905.1_ViralProj14608_genomic.fna,36519,36519,/Users/gboldirev1/Documents/refseq/149_AC_000011_blast.xml,0,0,0,0,0,0,0,0,36519,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/149_AC_000011_blast_subject_array_1748966450.bin
153,AC_000016,298333,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/905/GCF_000856905.1_ViralProj15112,GCF_000856905.1_ViralProj15112_genomic.fna,26263,26263,/Users/gboldirev1/Documents/refseq/153_AC_000016_blast.xml,0,0,0,0,0,0,0,0,26263,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/153_AC_000016_blast_subject_array_1748966450.bin
154,AC_000017,10533,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/645/GCF_000858645.1_ViralProj15113,GCF_000858645.1_ViralProj15113_genomic.fna,36001,36001,/Users/gboldirev1/Documents/refseq/154_AC_000017_blast.xml,0,0,0,0,0,0,0,0,36001,0,0,0,0,0,0,/Users/gboldirev1/Documents/refseq/154_AC_000017_blast_subject_array_1748966450.bin
