col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
25,1001534,TI0902,1001534.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/248/435/GCF_000248435.2_ASM24843v2,1,1001534.3.fna,GCF_000248435.2_ASM24843v2_genomic.fna,1892744,1892857,1001534.3.fna_vs_GCF_000248435.2_ASM24843v2_genomic.fna_blast.xml,0,0,0,2,0,0,20,312,1868316,0,25,53,24129,0,0,1001534_subject_array_1739113446.bin
26,1001542,TIGB03,1001542.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/248/415/GCF_000248415.2_ASM24841v2,1,1001542.3.fna,GCF_000248415.2_ASM24841v2_genomic.fna,1968651,1968610,1001542.3.fna_vs_GCF_000248415.2_ASM24841v2_genomic.fna_blast.xml,0,0,0,2,0,0,16,0,1968488,0,23,52,29,0,0,1001542_subject_array_1739113448.bin
29,1001585,NK-01,1001585.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/295/GCF_000204295.1_ASM20429v1,1,1001585.3.fna,GCF_000204295.1_ASM20429v1_genomic.fna,5434353,5434353,1001585.3.fna_vs_GCF_000204295.1_ASM20429v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5434353,0,0,0,0,0,0,1001585_subject_array_1739113452.bin
92,100226,CFB_NBC_0001,100226.137,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/305/GCF_008931305.1_ASM893130v1,1,100226.137.fna,GCF_008931305.1_ASM893130v1_genomic.fna,8667664,8667664,100226.137.fna_vs_GCF_008931305.1_ASM893130v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8667664,0,0,0,0,0,0,100226_subject_array_1739113458.bin
103,1002672,IMCC9063,1002672.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/085/GCF_000195085.1_ASM19508v1,1,1002672.3.fna,GCF_000195085.1_ASM19508v1_genomic.fna,1284727,1284727,1002672.3.fna_vs_GCF_000195085.1_ASM19508v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1284727,0,0,0,0,0,0,1002672_subject_array_1739113459.bin
104,1002689,DSM 25168,1002689.4,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/264/625/GCF_025264625.1_ASM2526462v1,1,1002689.4.fna,GCF_025264625.1_ASM2526462v1_genomic.fna,6794547,6794547,1002689.4.fna_vs_GCF_025264625.1_ASM2526462v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6794547,0,0,0,0,0,0,1002689_subject_array_1739113463.bin
113,1003110,NBC_01290,1003110.5,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/981/415/GCF_035981415.1_ASM3598141v1,1,1003110.5.fna,GCF_035981415.1_ASM3598141v1_genomic.fna,6668972,6668972,1003110.5.fna_vs_GCF_035981415.1_ASM3598141v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,6668972,0,0,0,0,0,0,1003110_subject_array_1739113468.bin
121,1003201,TH1527,1003201.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/285/GCF_000277285.1_ASM27728v1,1,1003201.3.fna,GCF_000277285.1_ASM27728v1_genomic.fna,1112372,1112372,1003201.3.fna_vs_GCF_000277285.1_ASM27728v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1112372,0,0,0,0,0,0,1003201_subject_array_1739113469.bin
122,1003202,B9991CWPP,1003202.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/305/GCF_000277305.1_ASM27730v1,1,1003202.3.fna,GCF_000277305.1_ASM27730v1_genomic.fna,1112957,1112957,1003202.3.fna_vs_GCF_000277305.1_ASM27730v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1112957,0,0,0,0,0,0,1003202_subject_array_1739113469.bin
126,1004,ATCC 23090,1004.12,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/479/145/GCF_034479145.1_ASM3447914v1,1,1004.12.fna,GCF_034479145.1_ASM3447914v1_genomic.fna,8491830,8491830,1004.12.fna_vs_GCF_034479145.1_ASM3447914v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8491830,0,0,0,0,0,0,1004_subject_array_1739113475.bin
128,1004,HAMBI_1988,1004.13,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/424/315/GCF_034424315.1_ASM3442431v1,1,1004.13.fna,GCF_034424315.1_ASM3442431v1_genomic.fna,8421768,8421768,1004.13.fna_vs_GCF_034424315.1_ASM3442431v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8421768,0,0,0,0,0,0,1004_subject_array_1739113481.bin
129,1004,HSF-01,1004.11,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/087/045/GCF_034087045.1_ASM3408704v1,1,1004.11.fna,GCF_034087045.1_ASM3408704v1_genomic.fna,8320843,8320843,1004.11.fna_vs_GCF_034087045.1_ASM3408704v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,8320843,0,0,0,0,0,0,1004_subject_array_1739113487.bin
149,1004901,Co17,1004901.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/993/285/GCF_002993285.1_ASM299328v1,1,1004901.3.fna,GCF_002993285.1_ASM299328v1_genomic.fna,4006485,4006485,1004901.3.fna_vs_GCF_002993285.1_ASM299328v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,4006485,0,0,0,0,0,0,1004901_subject_array_1739113490.bin
150,1004951,ST1,1004951.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/925/GCF_000231925.1_ASM23192v1,1,1004951.3.fna,GCF_000231925.1_ASM23192v1_genomic.fna,2034321,2034321,1004951.3.fna_vs_GCF_000231925.1_ASM23192v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2034321,0,0,0,0,0,0,1004951_subject_array_1739113492.bin
151,1004952,D12,1004952.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/905/GCF_000231905.1_ASM23190v1,1,1004952.3.fna,GCF_000231905.1_ASM23190v1_genomic.fna,2183059,2183059,1004952.3.fna_vs_GCF_000231905.1_ASM23190v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2183059,0,0,0,0,0,0,1004952_subject_array_1739113493.bin
157,1005041,SS12,1005041.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/865/GCF_000231865.1_ASM23186v1,1,1005041.3.fna,GCF_000231865.1_ASM23186v1_genomic.fna,2096866,2096866,1005041.3.fna_vs_GCF_000231865.1_ASM23186v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2096866,0,0,0,0,0,0,1005041_subject_array_1739113495.bin
158,1005042,D9,1005042.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/885/GCF_000231885.1_ASM23188v1,1,1005042.3.fna,GCF_000231885.1_ASM23188v1_genomic.fna,2177656,2177656,1005042.3.fna_vs_GCF_000231885.1_ASM23188v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,2177656,0,0,0,0,0,0,1005042_subject_array_1739113496.bin
159,1005048,Ter331,1005048.3,1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/045/GCF_000221045.1_ASM22104v1,1,1005048.3.fna,GCF_000221045.1_ASM22104v1_genomic.fna,5186898,5186898,1005048.3.fna_vs_GCF_000221045.1_ASM22104v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,5186898,0,0,0,0,0,0,1005048_subject_array_1739113500.bin
