col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
0,4911,DMKU3-1042,4911_DMKU3-1042,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0,http://FungiDB.org/common/downloads/Current_Release/KmarxianusDMKU3-1042/fasta/data/FungiDB-68_KmarxianusDMKU3-1042_Genome.fasta,downloads/FungiDB-68_KmarxianusDMKU3-1042_Genome.fasta,downloads/GCF_001417885.1_Kmar_1.0_genomic.fna,10966467,10966467,FungiDB-68_KmarxianusDMKU3-1042_Genome_vs_GCF_001417885.1_Kmar_1.0_genomic_blast.xml,0,0,0,0,0,0,0,0,10966467,0,0,0,0,0,0,FungiDB-68_KmarxianusDMKU3-1042_Genome_vs_GCF_001417885_subject_array_1760112686.bin
32,89940,CBS 173.52,89940_CBS_173.52,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/475/GCF_000835475.1_Clad_bant_CBS_173_52_V1,http://FungiDB.org/common/downloads/Current_Release/CbantianaCBS173.52/fasta/data/FungiDB-68_CbantianaCBS173.52_Genome.fasta,downloads/FungiDB-68_CbantianaCBS173.52_Genome.fasta,downloads/GCF_000835475.1_Clad_bant_CBS_173_52_V1_genomic.fna,36722552,36722552,FungiDB-68_CbantianaCBS173.52_Genome_vs_GCF_000835475.1_Clad_bant_CBS_173_52_V1_genomic_blast.xml,0,0,2,0,0,0,0,83317,36639171,0,0,9,53,0,0,FungiDB-68_CbantianaCBS173_subject_array_1760112716.bin
33,979981,CBS 102226,979981_CBS_102226,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/435/GCF_000836435.1_Fons_mult_CBS_102226_V1,http://FungiDB.org/common/downloads/Current_Release/FmultimorphosaCBS102226/fasta/data/FungiDB-68_FmultimorphosaCBS102226_Genome.fasta,downloads/FungiDB-68_FmultimorphosaCBS102226_Genome.fasta,downloads/GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic.fna,33447075,33447075,FungiDB-68_FmultimorphosaCBS102226_Genome_vs_GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic_blast.xml,0,0,0,0,0,0,0,18376,33428698,0,0,1,0,0,0,FungiDB-68_FmultimorphosaCBS102226_Genome_vs_GCF_000836435_subject_array_1760112735.bin
1,1069201,IFO 4308,1069201_IFO_4308,1016,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/861/625/GCF_016861625.1_AkawachiiIFO4308_assembly01,http://FungiDB.org/common/downloads/Current_Release/AluchuensisIFO4308/fasta/data/FungiDB-68_AluchuensisIFO4308_Genome.fasta,downloads/FungiDB-68_AluchuensisIFO4308_Genome.fasta,downloads/GCF_016861625.1_AkawachiiIFO4308_assembly01_genomic.fna,37113202,37287723,FungiDB-68_AluchuensisIFO4308_Genome_vs_GCF_016861625.1_AkawachiiIFO4308_assembly01_genomic_blast.xml,0,0,2317,284,0,0,2608,82336,16276882,0,3508,74421,20841875,0,3492,FungiDB-68_AluchuensisIFO4308_Genome_vs_GCF_016861625_subject_array_1760112759.bin
2,46472,CBS 583.65,46472_CBS_583.65,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/125/GCF_001890125.1_Aspve1,http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/fasta/data/FungiDB-68_AversicolorCBS583.65_Genome.fasta,downloads/FungiDB-68_AversicolorCBS583.65_Genome.fasta,downloads/GCF_001890125.1_Aspve1_genomic.fna,33126810,33126810,FungiDB-68_AversicolorCBS583.65_Genome_vs_GCF_001890125.1_Aspve1_genomic_blast.xml,0,0,1,0,0,0,0,5606,33121198,0,0,1,4,0,0,FungiDB-68_AversicolorCBS583_subject_array_1760112778.bin
34,1340029,CBS 122712,1340029_CBS_122712,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/535/GCF_003184535.1_Aspeuc1,http://FungiDB.org/common/downloads/Current_Release/AeucalypticolaCBS122712/fasta/data/FungiDB-68_AeucalypticolaCBS122712_Genome.fasta,downloads/FungiDB-68_AeucalypticolaCBS122712_Genome.fasta,downloads/GCF_003184535.1_Aspeuc1_genomic.fna,34792412,34792412,FungiDB-68_AeucalypticolaCBS122712_Genome_vs_GCF_003184535.1_Aspeuc1_genomic_blast.xml,0,0,0,0,0,0,0,0,34792408,0,1,3,0,0,0,FungiDB-68_AeucalypticolaCBS122712_Genome_vs_GCF_003184535_subject_array_1760112800.bin
3,75750,CBS 593.65,75750_CBS_593.65,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/705/GCF_001890705.1_Aspsy1,http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/fasta/data/FungiDB-68_AsydowiiCBS593.65_Genome.fasta,downloads/FungiDB-68_AsydowiiCBS593.65_Genome.fasta,downloads/GCF_001890705.1_Aspsy1_genomic.fna,34381026,34381026,FungiDB-68_AsydowiiCBS593.65_Genome_vs_GCF_001890705.1_Aspsy1_genomic_blast.xml,0,0,3,1,0,0,0,28585,34345743,0,0,46,6646,0,2,FungiDB-68_AsydowiiCBS593_subject_array_1760112821.bin
4,263815,B123,263815_B123,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/005/GCF_000349005.2_Pneumo_murina_B123_V4,http://FungiDB.org/common/downloads/Current_Release/PmurinaB123/fasta/data/FungiDB-68_PmurinaB123_Genome.fasta,downloads/FungiDB-68_PmurinaB123_Genome.fasta,downloads/GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna,7501343,7501343,FungiDB-68_PmurinaB123_Genome_vs_GCF_000349005.2_Pneumo_murina_B123_V4_genomic_blast.xml,0,0,0,0,0,0,5,0,7501317,0,4,8,9,0,0,FungiDB-68_PmurinaB123_Genome_vs_GCF_000349005_subject_array_1760112827.bin
35,446911,CBS 121591,446911_CBS_121591,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/745/GCF_003184745.1_Aspuva1,http://FungiDB.org/common/downloads/Current_Release/AuvarumCBS121591/fasta/data/FungiDB-68_AuvarumCBS121591_Genome.fasta,downloads/FungiDB-68_AuvarumCBS121591_Genome.fasta,downloads/GCF_003184745.1_Aspuva1_genomic.fna,35850703,35850703,FungiDB-68_AuvarumCBS121591_Genome_vs_GCF_003184745.1_Aspuva1_genomic_blast.xml,0,0,1,0,0,0,1,9514,35841095,0,0,14,77,0,1,FungiDB-68_AuvarumCBS121591_Genome_vs_GCF_003184745_subject_array_1760112851.bin
5,5066,DTO 134E9,5066_DTO_134E9,0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/725/GCF_001890725.1_Aspwe1,http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/fasta/data/FungiDB-68_AwentiiDTO134E9_Genome.fasta,downloads/FungiDB-68_AwentiiDTO134E9_Genome.fasta,downloads/GCF_001890725.1_Aspwe1_genomic.fna,31350635,31350635,FungiDB-68_AwentiiDTO134E9_Genome_vs_GCF_001890725.1_Aspwe1_genomic_blast.xml,0,0,1,0,0,0,0,55507,31294916,0,0,38,170,0,3,FungiDB-68_AwentiiDTO134E9_Genome_vs_GCF_001890725_subject_array_1760112871.bin
