col1,col2,col3,col4,col5,col6,col7,query_fna,subject_fna,query_length,subject_length,blast_output,n_of_-7,n_of_-6,n_of_-5,n_of_-4,n_of_-3,n_of_-2,n_of_-1,n_of_0,n_of_1,n_of_2,n_of_3,n_of_4,n_of_5,n_of_6,n_of_7,binary_filename
53201,139,S06_Assembly,139.470,173,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/335/GCF_021044335.1_ASM2104433v1,173,139.470.fna,GCF_021044335.1_ASM2104433v1_genomic.fna,1242507,1242507,139.470.fna_vs_GCF_021044335.1_ASM2104433v1_genomic.fna_blast.xml,0,0,0,0,0,0,3,0,1242497,0,2,5,0,0,0,139_subject_array_1741617989.bin
53202,139,S07_Assembly,139.463,250,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/225/GCF_021044225.1_ASM2104422v1,250,139.463.fna,GCF_021044225.1_ASM2104422v1_genomic.fna,1234970,1234970,139.463.fna_vs_GCF_021044225.1_ASM2104422v1_genomic.fna_blast.xml,0,0,0,0,0,0,3,0,1234961,0,2,4,0,0,0,139_subject_array_1741617990.bin
53203,139,S08_Assembly,139.465,74,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/295/GCF_021044295.1_ASM2104429v1,74,139.465.fna,GCF_021044295.1_ASM2104429v1_genomic.fna,1075956,1075956,139.465.fna_vs_GCF_021044295.1_ASM2104429v1_genomic.fna_blast.xml,0,0,0,0,0,0,2,0,1075951,0,1,2,0,0,0,139_subject_array_1741617991.bin
53204,139,S09_Assembly,139.462,50,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/245/GCF_021044245.1_ASM2104424v1,50,139.462.fna,GCF_021044245.1_ASM2104424v1_genomic.fna,1038115,1038115,139.462.fna_vs_GCF_021044245.1_ASM2104424v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1038114,0,0,1,0,0,0,139_subject_array_1741617991.bin
53205,139,S10_Assembly,139.466,49,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/285/GCF_021044285.1_ASM2104428v1,49,139.466.fna,GCF_021044285.1_ASM2104428v1_genomic.fna,1044125,1044125,139.466.fna_vs_GCF_021044285.1_ASM2104428v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1044123,0,0,2,0,0,0,139_subject_array_1741617992.bin
53206,139,S11_Assembly,139.461,137,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/255/GCF_021044255.1_ASM2104425v1,137,139.461.fna,GCF_021044255.1_ASM2104425v1_genomic.fna,1267061,1267061,139.461.fna_vs_GCF_021044255.1_ASM2104425v1_genomic.fna_blast.xml,0,0,0,0,0,0,2,0,1267056,0,1,2,0,0,0,139_subject_array_1741617993.bin
53207,139,S12_Assembly,139.453,190,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/145/GCF_021044145.1_ASM2104414v1,190,139.453.fna,GCF_021044145.1_ASM2104414v1_genomic.fna,1240763,1240763,139.453.fna_vs_GCF_021044145.1_ASM2104414v1_genomic.fna_blast.xml,0,0,0,0,0,0,3,1,1240756,0,1,2,0,0,0,139_subject_array_1741617994.bin
53208,139,S13_Assembly,139.452,58,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/165/GCF_021044165.1_ASM2104416v1,58,139.452.fna,GCF_021044165.1_ASM2104416v1_genomic.fna,1043326,1043326,139.452.fna_vs_GCF_021044165.1_ASM2104416v1_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,1043325,0,0,0,0,0,0,139_subject_array_1741617994.bin
53209,139,S14_Assembly,139.464,50,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/185/GCF_021044185.1_ASM2104418v1,50,139.464.fna,GCF_021044185.1_ASM2104418v1_genomic.fna,1022483,1022483,139.464.fna_vs_GCF_021044185.1_ASM2104418v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1022481,0,1,1,0,0,0,139_subject_array_1741617995.bin
53210,139,S15_Assembly,139.458,77,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/125/GCF_021044125.1_ASM2104412v1,77,139.458.fna,GCF_021044125.1_ASM2104412v1_genomic.fna,1041273,1041273,139.458.fna_vs_GCF_021044125.1_ASM2104412v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1041273,0,0,0,0,0,0,139_subject_array_1741617996.bin
53211,139,S16_Assembly,139.460,59,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/175/GCF_021044175.1_ASM2104417v1,59,139.460.fna,GCF_021044175.1_ASM2104417v1_genomic.fna,1043411,1043411,139.460.fna_vs_GCF_021044175.1_ASM2104417v1_genomic.fna_blast.xml,0,0,0,0,0,0,1,0,1043407,0,1,2,0,0,0,139_subject_array_1741617996.bin
53212,139,S17_Assembly,139.459,50,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/085/GCF_021044085.1_ASM2104408v1,50,139.459.fna,GCF_021044085.1_ASM2104408v1_genomic.fna,1046851,1046851,139.459.fna_vs_GCF_021044085.1_ASM2104408v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1046851,0,0,0,0,0,0,139_subject_array_1741617997.bin
53213,139,S18_Assembly,139.456,86,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/065/GCF_021044065.1_ASM2104406v1,86,139.456.fna,GCF_021044065.1_ASM2104406v1_genomic.fna,1078021,1078021,139.456.fna_vs_GCF_021044065.1_ASM2104406v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1078017,0,2,2,0,0,0,139_subject_array_1741617998.bin
53214,139,S19_Assembly,139.455,56,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/055/GCF_021044055.1_ASM2104405v1,56,139.455.fna,GCF_021044055.1_ASM2104405v1_genomic.fna,1077621,1077621,139.455.fna_vs_GCF_021044055.1_ASM2104405v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1077621,0,0,0,0,0,0,139_subject_array_1741617998.bin
53215,139,S21_Assembly,139.454,117,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/044/045/GCF_021044045.1_ASM2104404v1,117,139.454.fna,GCF_021044045.1_ASM2104404v1_genomic.fna,1231023,1231023,139.454.fna_vs_GCF_021044045.1_ASM2104404v1_genomic.fna_blast.xml,0,0,0,0,0,0,0,0,1231021,0,1,1,0,0,0,139_subject_array_1741617999.bin
