source,subject_length,matched_bases,similarity
ensembl,10966467,10966467,1.0
ensembl,37545380,32799670,0.8736006933476236
ensembl,33126810,33121202,0.9998307111369915
ensembl,34381026,34352390,0.9991670987363787
ensembl,18704010,18704010,1.0
ensembl,15901152,15900942,0.999986793409685
ensembl,26203324,26199607,0.9998581477678176
ensembl,25428601,25427801,0.9999685393624289
ensembl,25796716,25791186,0.99978563162846
ensembl,25479456,25479456,1.0
ensembl,7501343,7501211,0.9999824031510091
ensembl,31350635,31295085,0.9982281060654752
ensembl,26088231,26015931,0.9972286353950178
ensembl,38247703,38198643,0.9987173085923617
ensembl,11734173,11609888,0.9894082863785969
ensembl,46553780,46429472,0.9973297979240354
ensembl,37474605,37474059,0.9999854301332862
ensembl,40366568,40366551,0.9999995788594165
ensembl,82384847,82269351,0.9985980917097533
ensembl,32254922,31467316,0.9755818352312245
ensembl,20223942,20181941,0.9979232040914674
ensembl,12659401,12482471,0.9860238252978952
ensembl,44711451,44711450,0.9999999776343649
ensembl,34389227,33666525,0.9789846395791333
ensembl,37158136,36356233,0.9784191811989708
ensembl,37158136,35760020,0.9623738930284339
ensembl,27993362,27782267,0.9924591051264224
ensembl,28645321,28506774,0.9951633636781378
ensembl,32818685,32468989,0.9893446065861566
ensembl,2187595,2187594,0.9999995428769951
ensembl,25807613,25800491,0.9997240349194635
ensembl,28889638,28762461,0.9955978333823359
ensembl,39420127,39334893,0.9978378050380203
ensembl,27898422,27888068,0.9996288678979764
ensembl,41566958,40989862,0.9861164726078825
ensembl,33721883,33714072,0.9997683699928619
ensembl,26637005,25080678,0.9415727481374125
ensembl,48556462,48552175,0.9999117110303465
ensembl,35758560,35758560,1.0
ensembl,38719388,38166619,0.9857237154678168
ensembl,38719388,38719385,0.9999999225194365
ensembl,28781303,28720042,0.9978715001193657
ensembl,36074111,35272694,0.9777841510772088
ensembl,45210324,44907325,0.9932980130821447
ensembl,7669689,7654878,0.9980688917112546
ensembl,7669689,7654181,0.9979780144931562
ensembl,12580400,12580400,1.0
ensembl,11092131,11091760,0.99996655286527
ensembl,37130611,36781956,0.9906100387090317
ensembl,23305380,22969385,0.9855829426510102
ensembl,28991111,28980516,0.9996345431535893
ensembl,17383515,17280759,0.9940888824843537
ensembl,47465449,47383570,0.9982749768152409
ensembl,19969799,19894733,0.9962410237579257
ensembl,20254996,20253940,0.9999478647144635
ensembl,17799622,17642545,0.9911752620364634
ensembl,22796923,22620599,0.9922654474027043
ensembl,9655632,9624740,0.9968006237188825
ensembl,18442938,18435562,0.9996000637208671
ensembl,43450096,43148270,0.9930535021142416
ensembl,39909705,39050392,0.9784685704893084
