subject_length,matched_bases,similarity
4531652,4531652,1.0
4001985,4001985,1.0
4897666,4897666,1.0
3631970,3631970,1.0
2691682,2691682,1.0
1807534,1798380,0.9949356415978897
3984229,3984229,1.0
6673947,6673947,1.0
8095515,8095515,1.0
8092553,8092553,1.0
3315275,3315275,1.0
2694139,2694139,1.0
5132919,13963,0.0027202845008853635
4535079,4535079,1.0
5293347,5293347,1.0
3924810,3924810,1.0
4970096,4970096,1.0
3398643,3398643,1.0
6467321,6467321,1.0
2331468,2331468,1.0
5411334,5411334,1.0
4649073,4649073,1.0
5164310,5164310,1.0
5395282,5395282,1.0
2963948,2963948,1.0
1581461,1581461,1.0
1624943,1624943,1.0
1974692,1974692,1.0
4023090,4023090,1.0
6455027,6455027,1.0
1983925,1983742,0.9999077586098265
3294475,3294475,1.0
1532062,1532062,1.0
5430263,5430263,1.0
2108340,2108340,1.0
2107083,2105075,0.999047023776472
3037595,3037595,1.0
1516908,1516908,1.0
6148559,6148559,1.0
4195257,4195257,1.0
5649455,5649455,1.0
5967522,5967522,1.0
6620009,6620009,1.0
6620488,6620488,1.0
6741119,6741119,1.0
6502657,6502657,1.0
6762325,6762325,1.0
6607630,6607630,1.0
6631997,6631997,1.0
6614206,6614206,1.0
6441673,6441673,1.0
6638781,6638781,1.0
5078695,5078695,1.0
5237497,5237497,1.0
5488077,5488077,1.0
3530731,3530731,1.0
6368168,6367996,0.9999729906623066
5378459,5378459,1.0
6208705,6208705,1.0
6394336,6394336,1.0
4139662,4139662,1.0
3405417,3405417,1.0
5750190,5750190,1.0
5565686,5565497,0.9999660419218763
2417250,2417250,1.0
5298051,5298051,1.0
1441470,1441470,1.0
6573836,6573836,1.0
5462423,5462423,1.0
2842604,2842604,1.0
1168986,1168986,1.0
4858077,4858077,1.0
4752409,4752409,1.0
4842994,4842994,1.0
3851442,3851442,1.0
2810923,2810923,1.0
4140784,4140784,1.0
1669876,1669876,1.0
1637762,1637762,1.0
5738300,5738300,1.0
5327614,5327614,1.0
5432556,5432556,1.0
5505919,5505919,1.0
5497342,5497342,1.0
5563227,5563227,1.0
5505797,5505797,1.0
5547167,5547167,1.0
5546938,5546938,1.0
5546727,5546727,1.0
5475413,5475413,1.0
5475334,5475334,1.0
5474275,5474275,1.0
5475442,5475442,1.0
6962336,6962336,1.0
4729151,4729151,1.0
4749411,4749411,1.0
4154154,4154154,1.0
4142356,4142356,1.0
1940884,1940884,1.0
3936223,3936223,1.0
1051525,1051525,1.0
1051879,1051879,1.0
1050078,1049870,0.9998019194764579
1049632,1049488,0.9998628090606994
1050053,1050053,1.0
1050127,1050023,0.9999009643595489
1056314,1055998,0.999700846528589
1050282,1050176,0.999899074724693
1049642,1049498,0.9998628103677254
1050130,1050130,1.0
1050283,1050283,1.0
1049940,1049772,0.9998399908566203
1046584,1046584,1.0
1046319,1046319,1.0
1046364,1046364,1.0
1046337,1046337,1.0
1046376,1046239,0.9998690719206098
1046381,1046240,0.9998652498468531
1046220,1046220,1.0
1046379,1046301,0.9999254572196117
1046364,1046126,0.9997725456915567
1046218,1045916,0.9997113412309863
1046364,1046252,0.9998929626783796
1046348,1045994,0.9996616804351898
1046672,1046672,1.0
638184,638184,1.0
4499482,4499482,1.0
590336,590336,1.0
2796742,2796742,1.0
1046041,1045937,0.9999005775108242
1046246,1044778,0.9985968883035156
1046928,1046696,0.9997783992786514
609561,609561,1.0
5467641,5467641,1.0
5461127,5461127,1.0
5457289,5457289,1.0
3756676,3756676,1.0
4822167,4822167,1.0
3524770,3524770,1.0
3547608,3547608,1.0
2510416,2510416,1.0
3214995,3214995,1.0
4406405,4406405,1.0
4828909,4828909,1.0
4901721,4901721,1.0
5028098,5028098,1.0
5004909,5004909,1.0
4937171,4937171,1.0
4930521,4930521,1.0
4930520,4930520,1.0
4930269,4930269,1.0
4977212,4977212,1.0
4936306,4936306,1.0
1938636,1938636,1.0
4909935,4909935,1.0
5353291,5353291,1.0
3332387,3332387,1.0
3244663,3244554,0.9999664063725571
3920967,3920967,1.0
4089020,4089020,1.0
4837576,4837576,1.0
6629992,6629982,0.9999984917025541
2096197,2096197,1.0
4867131,4867131,1.0
4053889,4053889,1.0
2970381,2970381,1.0
4664957,4664857,0.9999785635751841
3286032,3286032,1.0
2263488,2263488,1.0
5844299,5844299,1.0
3033021,3032923,0.9999676889807225
3316088,3316088,1.0
5079550,5079550,1.0
2588193,2585497,0.9989583466148003
2968340,2968242,0.999966984914127
5452646,5452646,1.0
4752413,4752413,1.0
4101443,2700,0.0006583048941555448
4019226,4019226,1.0
4281097,4281097,1.0
4226795,4226795,1.0
5889319,5889319,1.0
4382767,4382767,1.0
3796022,3769101,0.9929081022185857
3708362,3708262,0.9999730339163221
4440187,4440187,1.0
3277765,3277765,1.0
2563476,2563311,0.9999356342715906
2674170,2674170,1.0
2548011,2547846,0.9999352436076611
3547928,3547928,1.0
5501118,5501118,1.0
6066298,6066298,1.0
9811274,9811174,0.9999898076437372
3108248,3108248,1.0
7435439,7435439,1.0
2407578,2407578,1.0
2549775,2549775,1.0
4079586,4079586,1.0
6244801,6244801,1.0
6008113,6008113,1.0
6240609,6240609,1.0
6100747,6100747,1.0
6280254,6280254,1.0
6270897,6270897,1.0
6236062,6236062,1.0
6236453,6236453,1.0
6236239,6236239,1.0
6041841,6041841,1.0
3102541,3102541,1.0
3145659,3145659,1.0
3152144,3152144,1.0
10405733,10405733,1.0
6371421,6371421,1.0
4138212,4138212,1.0
3904103,3884848,0.9950680092200437
5357612,5357612,1.0
3516604,3516604,1.0
2742269,2742269,1.0
3912599,3907125,0.9986009299700788
3884382,3884382,1.0
1067202,1067202,1.0
1417115,1417015,0.9999294340967388
11666822,11666822,1.0
919297,919297,1.0
3434749,3434749,1.0
2668067,2668067,1.0
3673306,3673306,1.0
2276133,2276133,1.0
2074826,2074826,1.0
5090607,5090607,1.0
5288172,5287532,0.9998789751921836
2849891,2849891,1.0
4628405,4628405,1.0
4903948,4903948,1.0
3286494,3286494,1.0
3286460,3286460,1.0
3286410,3286410,1.0
3324925,3324925,1.0
2968500,2968500,1.0
3794120,3794120,1.0
4737839,4737839,1.0
3606483,3599810,0.9981497209331085
1607584,1607584,1.0
5155034,5155034,1.0
2452457,2452457,1.0
5412720,5412622,0.9999818945003621
8281466,8281466,1.0
3302824,3302824,1.0
7031295,7031295,1.0
4808521,4802940,0.9988393520585643
5129059,5129059,1.0
5023739,5023739,1.0
3041979,3041979,1.0
3007882,3007882,1.0
4115533,4115533,1.0
3944801,3944801,1.0
1020119,1020119,1.0
8047834,8047834,1.0
4516512,4516512,1.0
1872235,1872235,1.0
1733165,1733165,1.0
7922482,7922482,1.0
5090549,5090549,1.0
5150786,5150786,1.0
5150786,5150786,1.0
4933928,4933928,1.0
5186935,5186935,1.0
632588,632588,1.0
4722159,4722159,1.0
6274362,6274362,1.0
2234003,2234003,1.0
603949,603949,1.0
4605952,4605952,1.0
2111518,2111518,1.0
2270963,2270963,1.0
2247548,2247548,1.0
2435012,2435012,1.0
2235595,2235595,1.0
2173819,2173819,1.0
6506706,6506706,1.0
4773537,4773537,1.0
4050606,4046146,0.9988989301847674
7114674,7114674,1.0
1907159,1907159,1.0
3313757,3313757,1.0
3228338,3228338,1.0
3285875,3285875,1.0
3286002,3286002,1.0
3307765,3307765,1.0
3284191,3284191,1.0
3286693,3286693,1.0
4214389,4214389,1.0
4212750,4212750,1.0
4760425,4760425,1.0
3892849,3892849,1.0
3536196,3536196,1.0
3312423,3312423,1.0
3331029,3331029,1.0
4899574,4899574,1.0
8487012,8487012,1.0
5056151,5056151,1.0
9555950,9554503,0.999848576018083
6382434,6382434,1.0
7555939,7555939,1.0
3617025,3617025,1.0
1469600,1469600,1.0
5669701,5669701,1.0
4837487,4837487,1.0
6826483,6826483,1.0
7223458,7221527,0.9997326765103361
1175981,1175981,1.0
1148342,1148342,1.0
1168938,1168938,1.0
1179818,1179818,1.0
1867232,1867232,1.0
3983415,3983415,1.0
5007160,5007160,1.0
5180406,5180406,1.0
1178564,1176022,0.9978431379203845
3323060,3323060,1.0
5138361,5138361,1.0
5511600,5511600,1.0
2238205,2238205,1.0
5145928,5145928,1.0
7155061,7155061,1.0
1048269,1048269,1.0
3515922,3515922,1.0
2865850,2865850,1.0
944930,944930,1.0
1983966,1983966,1.0
6338248,6338248,1.0
3261806,3261062,0.9997719055026572
3323804,3323804,1.0
4485537,4485537,1.0
4498245,4498245,1.0
5159425,5159425,1.0
1826626,1826626,1.0
6577133,6577133,1.0
641024,640953,0.9998892397164537
5868736,5868736,1.0
1754638,1754638,1.0
2027286,2027286,1.0
1816909,1816909,1.0
2117655,2117655,1.0
1978308,1978308,1.0
2081645,2081645,1.0
2025615,1852539,0.914556319932465
6484828,6484828,1.0
1791608,1791608,1.0
1839813,1839813,1.0
1741511,1741511,1.0
7148516,7148516,1.0
4954048,4954048,1.0
1892074,1892074,1.0
2236743,2236743,1.0
1595436,1595436,1.0
2007410,2007410,1.0
2052536,2052436,0.9999512797826688
2033487,2033487,1.0
7313103,7313103,1.0
7446569,7446569,1.0
7356376,7356376,1.0
7316085,7316085,1.0
7129813,7129813,1.0
7313851,7313851,1.0
7204083,7204083,1.0
7375551,7375551,1.0
7450511,7450511,1.0
6722801,6722801,1.0
6651696,6651696,1.0
6768375,6768375,1.0
6676730,6676730,1.0
6684359,6684359,1.0
3819763,3819763,1.0
3564561,3564561,1.0
6739500,6739500,1.0
1961348,1961348,1.0
2100796,2100796,1.0
2069888,2069888,1.0
1910394,1910394,1.0
2069888,2069888,1.0
2021060,2021060,1.0
2093052,2093052,1.0
2060722,2060722,1.0
2073486,2073486,1.0
2033016,2033016,1.0
2053504,2053504,1.0
1843736,1843636,0.9999457623000256
1919175,1919175,1.0
1843262,1843262,1.0
1809255,1809255,1.0
1875539,1875539,1.0
1875540,1875540,1.0
1812811,1812811,1.0
1735666,1735666,1.0
1756265,1756265,1.0
3879713,3879713,1.0
2034595,2034595,1.0
1900068,1900068,1.0
1984762,1984762,1.0
2063084,2063084,1.0
1050524,1050308,0.9997943883243029
1050524,1050308,0.9997943883243029
5875351,5875351,1.0
2447984,2447984,1.0
2334734,2334734,1.0
10338286,10338286,1.0
5805250,5804522,0.9998745962706171
3330439,3330439,1.0
1046341,1046341,1.0
1046341,1046341,1.0
3819771,3819771,1.0
3841631,3816459,0.993447574741041
3969042,3968868,0.9999561607057824
3820891,3820891,1.0
4023048,4023048,1.0
3921189,3919596,0.9995937456725499
4123814,4123814,1.0
4218374,4218374,1.0
3933480,3933480,1.0
9643891,9643891,1.0
3074045,3073952,0.9999697467018213
3754826,3754826,1.0
3475106,3475106,1.0
4680421,4680421,1.0
1506545,1506545,1.0
2543764,2543764,1.0
2562698,2562698,1.0
2655745,2655745,1.0
2433675,2433675,1.0
2571947,2571947,1.0
2657569,2657496,0.9999725312870522
2488099,2488099,1.0
6912804,6912804,1.0
3113642,3113642,1.0
